ts,Lon,Lat,COx,Noise,NOx
2014-04-09 09:13:28,6.637585,46.511160,1.473,069,1.084
2014-04-09 09:13:29,6.637452,46.511183,1.467,071,1.083
2014-04-09 09:13:30,6.637445,46.511205,1.469,069,1.081
2014-04-09 09:13:31,6.637447,46.511212,1.461,070,1.086
2014-04-09 09:13:32,6.637437,46.511227,1.461,068,1.082
2014-04-09 09:13:33,6.637437,46.511225,1.459,070,1.077
2014-04-09 09:13:34,6.637438,46.511242,1.464,067,1.073
2014-04-09 09:13:35,6.637430,46.511238,1.449,069,1.077
2014-04-09 09:13:36,6.637420,46.511238,1.453,070,1.074
2014-04-09 09:13:37,6.637413,46.511245,1.459,071,1.074
2014-04-09 09:13:38,6.637412,46.511242,1.457,071,1.073
2014-04-09 09:13:39,6.637417,46.511243,1.461,072,1.071
2014-04-09 09:13:40,6.637430,46.511243,1.461,072,1.071
2014-04-09 09:13:41,6.637433,46.511245,1.464,071,1.069
2014-04-09 09:13:42,6.637443,46.511245,1.456,071,1.070
2014-04-09 09:13:43,6.637450,46.511247,1.354,071,0.907
2014-04-09 09:13:44,6.637452,46.511252,1.420,069,1.010
2014-04-09 09:13:45,6.637450,46.511250,1.407,071,1.030
2014-04-09 09:13:46,6.637447,46.511257,1.382,070,1.030
2014-04-09 09:13:47,6.637438,46.511265,1.386,071,1.036
2014-04-09 09:13:48,6.637435,46.511267,1.379,071,1.030
2014-04-09 09:13:49,6.637430,46.511278,1.393,071,1.033
2014-04-09 09:13:50,6.637430,46.511283,1.399,071,1.037
2014-04-09 09:13:51,6.637452,46.511288,1.387,069,1.030
2014-04-09 09:13:52,6.637455,46.511302,1.393,066,1.036
2014-04-09 09:13:53,6.637473,46.511310,1.407,068,1.036
2014-04-09 09:13:54,6.637458,46.511322,1.411,071,1.038
2014-04-09 09:13:55,6.637455,46.511327,1.425,065,1.035
2014-04-09 09:13:56,6.637458,46.511323,1.407,065,1.032
2014-04-09 09:13:57,6.637460,46.511320,1.408,069,1.029
2014-04-09 09:13:58,6.637472,46.511317,1.406,071,1.031
2014-04-09 09:13:59,6.637482,46.511313,1.415,070,1.036
2014-04-09 09:14:00,6.637497,46.511308,1.421,069,1.034
2014-04-09 09:14:01,6.637505,46.511302,1.412,069,1.032
2014-04-09 09:14:02,6.637507,46.511302,1.411,068,1.029
2014-04-09 09:14:03,6.637507,46.511300,1.412,070,1.023
2014-04-09 09:14:04,6.637508,46.511300,1.414,071,1.027
2014-04-09 09:14:05,6.637508,46.511298,1.414,071,1.017
2014-04-09 09:14:06,6.637507,46.511298,1.422,070,1.027
2014-04-09 09:14:07,6.637507,46.511297,1.428,072,1.028
2014-04-09 09:14:08,6.637507,46.511295,1.429,069,1.026
2014-04-09 09:14:09,6.637508,46.511293,1.432,070,1.027
2014-04-09 09:14:10,6.637508,46.511292,1.437,070,1.027
2014-04-09 09:14:11,6.637510,46.511290,1.450,071,1.023
2014-04-09 09:14:12,6.637510,46.511288,1.447,071,1.030
2014-04-09 09:14:13,6.637508,46.511288,1.444,085,1.030
2014-04-09 09:14:14,6.637507,46.511287,1.458,091,1.027
2014-04-09 09:14:15,6.637507,46.511287,1.455,090,1.032
2014-04-09 09:14:16,6.637507,46.511285,1.464,085,1.033
2014-04-09 09:14:17,6.637505,46.511283,1.454,091,1.029
2014-04-09 09:14:18,6.637507,46.511285,1.445,086,1.023
2014-04-09 09:14:19,6.637513,46.511288,1.366,082,0.865
2014-04-09 09:14:20,6.637523,46.511288,1.399,067,0.990
2014-04-09 09:14:21,6.637533,46.511288,1.399,067,0.990
2014-04-09 09:14:22,6.637543,46.511288,1.399,073,1.010
2014-04-09 09:14:23,6.637553,46.511292,1.390,061,1.009
2014-04-09 09:14:24,6.637563,46.511293,1.399,056,1.010
2014-04-09 09:14:25,6.637558,46.511298,1.399,059,1.007
2014-04-09 09:14:26,6.637557,46.511302,1.408,073,0.995
2014-04-09 09:14:27,6.637560,46.511312,1.403,060,1.003
2014-04-09 09:14:28,6.637560,46.511325,1.411,072,1.000
2014-04-09 09:14:29,6.637550,46.511357,1.419,080,1.000
2014-04-09 09:14:30,6.637558,46.511372,1.422,084,1.010
2014-04-09 09:14:31,6.637558,46.511390,1.420,090,0.997
2014-04-09 09:14:32,6.637558,46.511400,1.423,074,0.998
2014-04-09 09:14:33,6.637563,46.511413,1.410,086,0.951
2014-04-09 09:14:34,6.637572,46.511425,1.419,074,0.975
2014-04-09 09:14:35,6.637587,46.511438,1.426,071,0.986
2014-04-09 09:14:36,6.637598,46.511452,1.419,073,0.995
2014-04-09 09:14:37,6.637608,46.511463,1.429,075,0.988
2014-04-09 09:14:38,6.637613,46.511470,1.429,078,0.991
2014-04-09 09:14:39,6.637660,46.511468,1.428,079,0.990
2014-04-09 09:14:40,6.637670,46.511488,1.429,078,0.985
2014-04-09 09:14:41,6.637708,46.511492,1.435,082,0.990
2014-04-09 09:14:42,6.637737,46.511502,1.429,085,0.984
2014-04-09 09:14:43,6.637770,46.511507,1.433,081,0.986
2014-04-09 09:14:44,6.637797,46.511510,1.429,076,0.984
2014-04-09 09:14:45,6.637815,46.511512,1.423,067,0.979
2014-04-09 09:14:46,6.637848,46.511508,1.421,075,0.981
2014-04-09 09:14:47,6.637868,46.511518,1.434,068,0.982
2014-04-09 09:14:48,6.637885,46.511528,1.431,068,0.974
2014-04-09 09:14:49,6.637900,46.511538,1.428,063,0.982
2014-04-09 09:14:50,6.637895,46.511555,1.436,067,0.982
2014-04-09 09:14:51,6.637907,46.511570,1.437,055,0.982
2014-04-09 09:14:52,6.637927,46.511575,1.429,069,0.980
2014-04-09 09:14:53,6.637932,46.511585,1.436,058,0.981
2014-04-09 09:14:54,6.637933,46.511595,1.430,064,0.982
2014-04-09 09:14:55,6.637942,46.511605,1.436,066,0.986
2014-04-09 09:14:56,6.637952,46.511613,1.437,057,0.988
2014-04-09 09:14:57,6.637962,46.511630,1.432,062,0.984
2014-04-09 09:14:58,6.637987,46.511638,1.438,054,0.982
2014-04-09 09:14:59,6.638013,46.511645,1.440,054,0.986
2014-04-09 09:15:00,6.638025,46.511658,1.450,063,0.983
2014-04-09 09:15:01,6.638040,46.511668,1.437,068,0.982
2014-04-09 09:15:02,6.638045,46.511683,1.438,066,0.978
2014-04-09 09:15:03,6.638053,46.511700,1.438,066,0.978
2014-04-09 09:15:04,6.638060,46.511708,1.437,067,0.978
2014-04-09 09:15:05,6.638075,46.511713,1.440,068,0.981
2014-04-09 09:15:06,6.638098,46.511717,1.440,071,0.978
2014-04-09 09:15:07,6.638115,46.511730,1.437,069,0.980
2014-04-09 09:15:08,6.638155,46.511732,1.440,067,0.977
2014-04-09 09:15:09,6.638198,46.511732,1.441,059,0.965
2014-04-09 09:15:10,6.638257,46.511742,1.432,066,0.928
2014-04-09 09:15:11,6.638265,46.511757,1.435,063,0.977
2014-04-09 09:15:12,6.638282,46.511772,1.435,065,0.965
2014-04-09 09:15:13,6.638288,46.511790,1.434,064,0.963
2014-04-09 09:15:14,6.638303,46.511798,1.432,069,0.944
2014-04-09 09:15:15,6.638322,46.511808,1.428,068,0.957
2014-04-09 09:15:16,6.638325,46.511830,1.428,070,0.949
2014-04-09 09:15:17,6.638338,46.511842,1.430,058,0.960
2014-04-09 09:15:18,6.638347,46.511858,1.422,064,0.957
2014-04-09 09:15:19,6.638352,46.511870,1.432,054,0.963
2014-04-09 09:15:20,6.638362,46.511880,1.428,061,0.966
2014-04-09 09:15:21,6.638365,46.511895,1.429,069,0.961
2014-04-09 09:15:22,6.638382,46.511903,1.429,062,0.962
2014-04-09 09:15:23,6.638383,46.511913,1.438,064,0.965
2014-04-09 09:15:24,6.638400,46.511927,1.437,062,0.967
2014-04-09 09:15:25,6.638422,46.511927,1.431,064,0.968
2014-04-09 09:15:26,6.638450,46.511923,1.436,067,0.969
2014-04-09 09:15:27,6.638475,46.511923,1.442,064,0.965
2014-04-09 09:15:28,6.638502,46.511925,1.444,060,0.966
2014-04-09 09:15:29,6.638512,46.511933,1.440,068,0.955
2014-04-09 09:15:30,6.638540,46.511935,1.436,067,0.965
2014-04-09 09:15:31,6.638558,46.511945,1.441,061,0.961
2014-04-09 09:15:32,6.638570,46.511955,1.437,066,0.962
2014-04-09 09:15:33,6.638587,46.511968,1.431,064,0.953
2014-04-09 09:15:34,6.638613,46.511973,1.473,065,0.955
2014-04-09 09:15:35,6.638640,46.511983,1.467,065,0.969
2014-04-09 09:15:36,6.638663,46.511998,1.447,063,0.969
2014-04-09 09:15:37,6.638688,46.512007,1.453,064,0.965
2014-04-09 09:15:38,6.638705,46.512015,1.441,065,0.959
2014-04-09 09:15:39,6.638722,46.512018,1.443,066,0.964
2014-04-09 09:15:40,6.638735,46.512025,1.444,063,0.959
2014-04-09 09:15:41,6.638755,46.512025,1.437,064,0.961
2014-04-09 09:15:42,6.638773,46.512035,1.433,064,0.958
2014-04-09 09:15:43,6.638780,46.512043,1.438,063,0.959
2014-04-09 09:15:44,6.638788,46.512053,1.444,072,0.957
2014-04-09 09:15:45,6.638795,46.512063,1.444,072,0.957
2014-04-09 09:15:46,6.638812,46.512072,1.451,066,0.966
2014-04-09 09:15:47,6.638822,46.512085,1.436,072,0.950
2014-04-09 09:15:48,6.638830,46.512100,1.432,071,0.955
2014-04-09 09:15:49,6.638832,46.512117,1.447,071,0.957
2014-04-09 09:15:50,6.638837,46.512147,1.427,071,0.949
2014-04-09 09:15:51,6.638842,46.512168,1.424,076,0.951
2014-04-09 09:15:52,6.638845,46.512193,1.422,087,0.942
2014-04-09 09:15:53,6.638853,46.512222,1.414,079,0.933
2014-04-09 09:15:54,6.638865,46.512243,1.399,087,0.932
2014-04-09 09:15:55,6.638880,46.512263,1.399,086,0.922
