ts,Lon,Lat,COx,Noise,NOx
2014-04-10 06:19:28,6.646488,46.509497,1.545,062,1.362
2014-04-10 06:19:29,6.646473,46.509497,1.543,082,1.359
2014-04-10 06:19:30,6.646473,46.509485,1.539,057,1.352
2014-04-10 06:19:31,6.646468,46.509482,1.532,056,1.354
2014-04-10 06:19:32,6.646448,46.509483,1.537,067,1.358
2014-04-10 06:19:33,6.646435,46.509482,1.529,089,1.348
2014-04-10 06:19:34,6.646420,46.509480,1.538,086,1.339
2014-04-10 06:19:35,6.646412,46.509468,1.529,091,1.341
2014-04-10 06:19:36,6.646405,46.509458,1.528,080,1.331
2014-04-10 06:19:37,6.646385,46.509438,1.529,086,1.333
2014-04-10 06:19:38,6.646357,46.509435,1.535,054,1.336
2014-04-10 06:19:39,6.646327,46.509427,1.529,076,1.328
2014-04-10 06:19:40,6.646312,46.509415,1.521,076,1.326
2014-04-10 06:19:41,6.646277,46.509412,1.534,062,1.321
2014-04-10 06:19:42,6.646265,46.509410,1.528,060,1.324
2014-04-10 06:19:43,6.646258,46.509403,1.521,062,1.316
2014-04-10 06:19:44,6.646245,46.509403,1.524,059,1.322
2014-04-10 06:19:45,6.646227,46.509400,1.523,067,1.319
2014-04-10 06:19:46,6.646217,46.509400,1.531,065,1.319
2014-04-10 06:19:47,6.646205,46.509397,1.530,069,1.314
2014-04-10 06:19:48,6.646197,46.509395,1.521,062,1.313
2014-04-10 06:19:49,6.646192,46.509397,1.525,060,1.307
2014-04-10 06:19:50,6.646185,46.509397,1.531,067,1.313
2014-04-10 06:19:51,6.646180,46.509395,1.521,063,1.308
2014-04-10 06:19:52,6.646173,46.509397,1.519,062,1.304
2014-04-10 06:19:53,6.646165,46.509392,1.513,071,1.304
2014-04-10 06:19:54,6.646157,46.509393,1.515,071,1.306
2014-04-10 06:19:55,6.646157,46.509370,1.519,068,1.306
2014-04-10 06:19:56,6.646147,46.509368,1.519,066,1.304
2014-04-10 06:19:57,6.646132,46.509358,1.517,066,1.300
2014-04-10 06:19:58,6.646120,46.509352,1.513,063,1.288
2014-04-10 06:19:59,6.646110,46.509343,1.512,066,1.290
2014-04-10 06:20:00,6.646092,46.509342,1.512,066,1.290
2014-04-10 06:20:01,6.646078,46.509342,1.509,074,1.292
2014-04-10 06:20:03,6.646057,46.509335,1.505,093,1.287
2014-04-10 06:20:04,6.646048,46.509332,1.501,092,1.287
2014-04-10 06:20:05,6.646035,46.509328,1.504,086,1.271
2014-04-10 06:20:06,6.646027,46.509333,1.498,093,1.272
2014-04-10 06:20:07,6.646008,46.509345,1.501,075,1.276
2014-04-10 06:20:08,6.645997,46.509343,1.497,070,1.262
2014-04-10 06:20:09,6.645985,46.509342,1.497,073,1.271
2014-04-10 06:20:10,6.645962,46.509333,1.495,085,1.266
2014-04-10 06:20:11,6.645945,46.509330,1.499,074,1.259
2014-04-10 06:20:12,6.645928,46.509323,1.490,073,1.257
2014-04-10 06:20:13,6.645900,46.509320,1.490,070,1.257
2014-04-10 06:20:14,6.645878,46.509317,1.489,070,1.251
2014-04-10 06:20:15,6.645867,46.509322,1.488,070,1.253
2014-04-10 06:20:16,6.645852,46.509322,1.489,069,1.248
2014-04-10 06:20:17,6.645837,46.509308,1.489,068,1.251
2014-04-10 06:20:18,6.645820,46.509308,1.485,073,1.250
2014-04-10 06:20:19,6.645805,46.509308,1.490,073,1.238
2014-04-10 06:20:20,6.645790,46.509312,1.490,072,1.242
2014-04-10 06:20:21,6.645775,46.509313,1.488,076,1.236
2014-04-10 06:20:22,6.645760,46.509312,1.493,077,1.233
2014-04-10 06:20:23,6.645747,46.509312,1.477,076,1.235
2014-04-10 06:20:24,6.645735,46.509312,1.492,075,1.226
2014-04-10 06:20:25,6.645718,46.509313,1.502,075,1.229
2014-04-10 06:20:26,6.645707,46.509318,1.506,078,1.222
2014-04-10 06:20:27,6.645688,46.509323,1.519,070,1.228
2014-04-10 06:20:28,6.645670,46.509325,1.512,074,1.222
2014-04-10 06:20:29,6.645655,46.509323,1.508,077,1.218
2014-04-10 06:20:30,6.645638,46.509327,1.510,073,1.222
2014-04-10 06:20:31,6.645617,46.509327,1.508,077,1.217
2014-04-10 06:20:32,6.645598,46.509325,1.506,078,1.216
2014-04-10 06:20:33,6.645573,46.509308,1.501,085,1.208
2014-04-10 06:20:34,6.645553,46.509297,1.508,080,1.209
2014-04-10 06:20:35,6.645538,46.509275,1.499,077,1.197
2014-04-10 06:20:36,6.645513,46.509258,1.495,088,1.193
2014-04-10 06:20:37,6.645498,46.509250,1.496,092,1.196
2014-04-10 06:20:38,6.645480,46.509247,1.501,082,1.191
2014-04-10 06:20:39,6.645462,46.509248,1.477,085,1.188
2014-04-10 06:20:40,6.645445,46.509240,1.472,086,1.184
2014-04-10 06:20:41,6.645418,46.509235,1.457,090,1.160
2014-04-10 06:20:42,6.645400,46.509232,1.457,090,1.160
2014-04-10 06:20:43,6.645382,46.509225,1.457,090,1.164
2014-04-10 06:20:44,6.645353,46.509230,1.462,104,1.162
2014-04-10 06:20:45,6.645318,46.509233,1.465,077,1.172
2014-04-10 06:20:46,6.645298,46.509235,1.462,078,1.168
2014-04-10 06:20:47,6.645285,46.509233,1.457,080,1.164
2014-04-10 06:20:48,6.645260,46.509228,1.459,087,1.156
2014-04-10 06:20:49,6.645243,46.509235,1.454,085,1.116
2014-04-10 06:20:50,6.645225,46.509238,1.457,081,1.120
2014-04-10 06:20:51,6.645210,46.509237,1.452,078,1.153
2014-04-10 06:20:52,6.645195,46.509243,1.454,070,1.150
2014-04-10 06:20:53,6.645185,46.509238,1.456,089,1.143
2014-04-10 06:20:54,6.645172,46.509243,1.444,081,1.144
2014-04-10 06:20:55,6.645160,46.509245,1.453,076,1.145
2014-04-10 06:20:56,6.645150,46.509238,1.443,080,1.114
2014-04-10 06:20:57,6.645133,46.509230,1.445,077,1.132
2014-04-10 06:20:58,6.645107,46.509228,1.452,074,1.135
2014-04-10 06:20:59,6.645092,46.509238,1.451,064,1.135
2014-04-10 06:21:00,6.645067,46.509238,1.448,061,1.136
2014-04-10 06:21:01,6.645047,46.509240,1.440,067,1.135
2014-04-10 06:21:02,6.645032,46.509242,1.439,066,1.133
2014-04-10 06:21:03,6.645018,46.509243,1.442,071,1.127
2014-04-10 06:21:04,6.644998,46.509237,1.434,067,1.089
2014-04-10 06:21:05,6.644982,46.509232,1.462,067,1.131
2014-04-10 06:21:06,6.644953,46.509230,1.444,065,1.121
2014-04-10 06:21:07,6.644937,46.509225,1.442,067,1.122
2014-04-10 06:21:08,6.644917,46.509225,1.457,069,1.122
2014-04-10 06:21:09,6.644910,46.509213,1.453,083,1.119
2014-04-10 06:21:10,6.644892,46.509210,1.454,084,1.107
2014-04-10 06:21:11,6.644873,46.509213,1.444,077,1.110
2014-04-10 06:21:12,6.644858,46.509215,1.441,078,1.121
2014-04-10 06:21:13,6.644842,46.509213,1.434,087,1.114
2014-04-10 06:21:14,6.644822,46.509213,1.436,081,1.116
2014-04-10 06:21:15,6.644803,46.509217,1.446,093,1.114
2014-04-10 06:21:16,6.644787,46.509218,1.435,092,1.114
2014-04-10 06:21:17,6.644772,46.509223,1.432,091,1.105
2014-04-10 06:21:18,6.644760,46.509233,1.428,090,1.107
2014-04-10 06:21:19,6.644748,46.509238,1.433,088,1.114
2014-04-10 06:21:20,6.644733,46.509232,1.432,075,1.112
2014-04-10 06:21:21,6.644720,46.509227,1.426,093,1.109
2014-04-10 06:21:22,6.644707,46.509230,1.436,080,1.107
2014-04-10 06:21:23,6.644692,46.509233,1.438,093,1.104
2014-04-10 06:21:24,6.644670,46.509233,1.438,093,1.104
2014-04-10 06:21:25,6.644662,46.509232,1.431,093,1.108
2014-04-10 06:21:26,6.644647,46.509232,1.429,107,1.103
2014-04-10 06:21:27,6.644635,46.509227,1.431,062,1.110
2014-04-10 06:21:28,6.644622,46.509223,1.464,070,1.105
2014-04-10 06:21:29,6.644597,46.509217,1.451,087,1.114
2014-04-10 06:21:30,6.644587,46.509208,1.442,067,1.098
2014-04-10 06:21:31,6.644577,46.509185,1.457,076,1.081
2014-04-10 06:21:32,6.644562,46.509182,1.447,081,1.093
2014-04-10 06:21:33,6.644533,46.509178,1.443,070,1.097
2014-04-10 06:21:34,6.644505,46.509180,1.434,064,1.093
2014-04-10 06:21:35,6.644482,46.509182,1.420,073,1.093
2014-04-10 06:21:36,6.644460,46.509180,1.420,070,1.088
2014-04-10 06:21:37,6.644430,46.509183,1.422,081,1.077
2014-04-10 06:21:38,6.644412,46.509182,1.426,084,1.076
2014-04-10 06:21:39,6.644393,46.509187,1.424,087,1.085
2014-04-10 06:21:40,6.644378,46.509192,1.428,085,1.084
2014-04-10 06:21:41,6.644365,46.509197,1.434,085,1.082
2014-04-10 06:21:42,6.644348,46.509200,1.432,082,1.077
2014-04-10 06:21:43,6.644328,46.509205,1.436,078,1.072
2014-04-10 06:21:44,6.644300,46.509207,1.438,079,1.065
2014-04-10 06:21:45,6.644268,46.509210,1.432,068,1.052
2014-04-10 06:21:46,6.644248,46.509207,1.439,064,1.052
2014-04-10 06:21:47,6.644228,46.509205,1.439,069,1.056
2014-04-10 06:21:48,6.644200,46.509205,1.429,073,1.055
2014-04-10 06:21:49,6.644185,46.509210,1.426,074,1.054
2014-04-10 06:21:50,6.644168,46.509212,1.428,074,1.052
2014-04-10 06:21:51,6.644150,46.509208,1.424,074,1.056
2014-04-10 06:21:52,6.644130,46.509220,1.423,066,1.049
2014-04-10 06:21:53,6.644115,46.509222,1.423,066,1.033
2014-04-10 06:21:54,6.644095,46.509223,1.435,079,1.052
2014-04-10 06:21:55,6.644080,46.509225,1.432,072,1.055
2014-04-10 06:21:56,6.644065,46.509235,1.432,072,1.055
2014-04-10 06:21:57,6.644045,46.509235,1.429,071,1.050
2014-04-10 06:21:58,6.644028,46.509238,1.426,071,1.051
2014-04-10 06:21:59,6.644012,46.509232,1.423,074,1.053
2014-04-10 06:22:00,6.643993,46.509233,1.424,066,1.050
2014-04-10 06:22:01,6.643982,46.509232,1.432,060,1.049
2014-04-10 06:22:02,6.643962,46.509222,1.432,069,1.057
2014-04-10 06:22:03,6.643942,46.509218,1.436,069,1.059
2014-04-10 06:22:04,6.643928,46.509217,1.432,065,1.058
2014-04-10 06:22:05,6.643910,46.509208,1.432,065,1.058
2014-04-10 06:22:06,6.643895,46.509203,1.430,078,1.061
2014-04-10 06:22:08,6.643868,46.509203,1.416,074,1.059
2014-04-10 06:22:09,6.643860,46.509203,1.422,077,1.056
2014-04-10 06:22:10,6.643848,46.509210,1.415,080,1.048
2014-04-10 06:22:11,6.643832,46.509217,1.420,081,1.056
2014-04-10 06:22:12,6.643812,46.509223,1.411,083,1.051
2014-04-10 06:22:13,6.643783,46.509225,1.403,082,1.056
2014-04-10 06:22:14,6.643742,46.509228,1.417,077,1.052
2014-04-10 06:22:15,6.643722,46.509237,1.414,077,1.057
2014-04-10 06:22:16,6.643710,46.509250,1.406,075,1.052
2014-04-10 06:22:17,6.643695,46.509257,1.412,081,1.049
2014-04-10 06:22:18,6.643680,46.509262,1.405,075,1.045
2014-04-10 06:22:19,6.643667,46.509262,1.414,079,1.048
2014-04-10 06:22:20,6.643658,46.509262,1.408,090,1.052
2014-04-10 06:22:21,6.643650,46.509267,1.413,087,1.051
2014-04-10 06:22:22,6.643638,46.509277,1.410,082,1.050
2014-04-10 06:22:23,6.643618,46.509272,1.415,077,1.053
2014-04-10 06:22:24,6.643608,46.509282,1.424,077,1.050
2014-04-10 06:22:25,6.643588,46.509288,1.414,071,1.041
2014-04-10 06:22:26,6.643570,46.509300,1.420,073,1.009
2014-04-10 06:22:27,6.643547,46.509307,1.420,076,1.022
2014-04-10 06:22:28,6.643530,46.509312,1.428,081,1.036
2014-04-10 06:22:29,6.643515,46.509315,1.419,074,1.040
2014-04-10 06:22:30,6.643502,46.509318,1.415,081,1.044
2014-04-10 06:22:31,6.643487,46.509332,1.415,072,1.040
2014-04-10 06:22:32,6.643472,46.509342,1.415,068,1.036
2014-04-10 06:22:33,6.643452,46.509352,1.415,069,1.036
2014-04-10 06:22:34,6.643428,46.509353,1.417,060,1.020
2014-04-10 06:22:35,6.643405,46.509357,1.422,057,1.030
2014-04-10 06:22:36,6.643378,46.509367,1.412,057,1.029
2014-04-10 06:22:37,6.643367,46.509370,1.414,058,1.025
2014-04-10 06:22:38,6.643355,46.509377,1.414,067,1.027
2014-04-10 06:22:39,6.643342,46.509387,1.422,058,1.032
2014-04-10 06:22:40,6.643335,46.509397,1.414,058,1.032
2014-04-10 06:22:41,6.643320,46.509403,1.407,064,1.029
2014-04-10 06:22:42,6.643303,46.509410,1.398,067,1.023
2014-04-10 06:22:43,6.643287,46.509412,1.411,064,1.020
2014-04-10 06:22:44,6.643267,46.509415,1.409,064,1.023
2014-04-10 06:22:45,6.643245,46.509425,1.412,068,1.021
2014-04-10 06:22:46,6.643232,46.509432,1.413,071,1.023
2014-04-10 06:22:47,6.643200,46.509433,1.413,071,1.023
2014-04-10 06:22:48,6.643172,46.509450,1.405,066,1.022
2014-04-10 06:22:49,6.643150,46.509455,1.411,060,1.027
2014-04-10 06:22:50,6.643128,46.509463,1.407,065,1.025
2014-04-10 06:22:51,6.643113,46.509470,1.411,065,1.024
2014-04-10 06:22:52,6.643103,46.509477,1.412,063,1.029
2014-04-10 06:22:53,6.643080,46.509488,1.404,064,1.024
2014-04-10 06:22:54,6.643065,46.509505,1.413,069,1.024
2014-04-10 06:22:55,6.643053,46.509515,1.403,070,1.022
2014-04-10 06:22:56,6.643033,46.509525,1.409,064,1.020
2014-04-10 06:22:57,6.643020,46.509530,1.410,069,1.024
2014-04-10 06:22:58,6.643002,46.509538,1.412,070,1.020
2014-04-10 06:22:59,6.642985,46.509538,1.412,069,1.027
2014-04-10 06:23:00,6.642973,46.509542,1.409,071,1.023
2014-04-10 06:23:01,6.642957,46.509557,1.414,071,1.013
2014-04-10 06:23:02,6.642948,46.509563,1.411,072,1.014
2014-04-10 06:23:03,6.642940,46.509570,1.413,072,1.012
2014-04-10 06:23:04,6.642930,46.509575,1.412,077,1.020
2014-04-10 06:23:05,6.642917,46.509582,1.414,075,1.013
2014-04-10 06:23:06,6.642905,46.509583,1.403,079,1.011
