ts,Lon,Lat,COx,Noise,NOx
2012-07-05 08:42:53,6.649133,46.510995,1.496,052,2.582
2012-07-05 08:42:54,6.649092,46.511010,1.486,059,2.591
2012-07-05 08:42:55,6.649103,46.510998,1.484,056,2.583
2012-07-05 08:42:56,6.649163,46.510957,1.482,062,2.576
2012-07-05 08:42:57,6.649185,46.510953,1.482,053,2.580
2012-07-05 08:42:58,6.649225,46.510920,1.478,060,2.578
2012-07-05 08:42:59,6.649235,46.510923,1.486,055,2.571
2012-07-05 08:43:00,6.649243,46.510937,1.486,055,2.571
2012-07-05 08:43:01,6.649280,46.510908,1.477,054,2.564
2012-07-05 08:43:02,6.649277,46.510907,1.477,055,2.575
2012-07-05 08:43:03,6.649303,46.510878,1.478,059,2.558
2012-07-05 08:43:04,6.649330,46.510855,1.472,052,2.559
2012-07-05 08:43:05,6.649335,46.510853,1.471,054,2.551
2012-07-05 08:43:06,6.649357,46.510835,1.477,057,2.565
2012-07-05 08:43:07,6.649393,46.510815,1.473,065,2.562
2012-07-05 08:43:08,6.649415,46.510808,1.469,069,2.560
2012-07-05 08:43:09,6.649450,46.510792,1.461,069,2.551
2012-07-05 08:43:10,6.649483,46.510770,1.461,071,2.546
2012-07-05 08:43:11,6.649498,46.510757,1.455,063,2.548
2012-07-05 08:43:12,6.649507,46.510755,1.453,059,2.537
2012-07-05 08:43:13,6.649530,46.510745,1.460,057,2.534
2012-07-05 08:43:14,6.649545,46.510735,1.452,056,2.535
2012-07-05 08:43:15,6.649558,46.510728,1.455,057,2.536
2012-07-05 08:43:16,6.649542,46.510732,1.455,057,2.530
2012-07-05 08:43:17,6.649540,46.510747,1.458,062,2.526
2012-07-05 08:43:18,6.649557,46.510735,1.457,062,2.527
2012-07-05 08:43:19,6.649578,46.510727,1.447,064,2.518
2012-07-05 08:43:20,6.649597,46.510708,1.586,058,2.523
2012-07-05 08:43:21,6.649607,46.510698,1.610,059,2.520
2012-07-05 08:43:22,6.649613,46.510690,1.507,060,2.508
2012-07-05 08:43:23,6.649617,46.510675,1.448,058,2.517
2012-07-05 08:43:24,6.649625,46.510660,1.440,062,2.505
2012-07-05 08:43:25,6.649640,46.510640,1.506,060,2.513
2012-07-05 08:43:26,6.649645,46.510622,1.459,060,2.503
2012-07-05 08:43:27,6.649653,46.510610,1.448,058,2.505
2012-07-05 08:43:28,6.649663,46.510597,1.451,058,2.510
2012-07-05 08:43:29,6.649668,46.510587,1.438,060,2.507
2012-07-05 08:43:30,6.649687,46.510570,1.435,061,2.507
2012-07-05 08:43:31,6.649707,46.510558,1.423,060,2.489
2012-07-05 08:43:32,6.649723,46.510543,1.420,064,2.496
2012-07-05 08:43:33,6.649728,46.510527,1.424,064,2.481
2012-07-05 08:43:34,6.649732,46.510515,1.414,065,2.494
2012-07-05 08:43:35,6.649732,46.510503,1.415,065,2.476
2012-07-05 08:43:36,6.649733,46.510498,1.410,061,2.481
2012-07-05 08:43:37,6.649725,46.510488,1.413,058,2.472
2012-07-05 08:43:38,6.649715,46.510482,1.415,059,2.478
2012-07-05 08:43:39,6.649705,46.510467,1.405,054,2.460
2012-07-05 08:43:40,6.649698,46.510463,1.403,058,2.461
2012-07-05 08:43:41,6.649692,46.510465,1.407,058,2.472
2012-07-05 08:43:42,6.649685,46.510460,1.407,058,2.472
2012-07-05 08:43:43,6.649683,46.510457,1.409,056,2.468
2012-07-05 08:43:44,6.649677,46.510450,1.406,057,2.462
2012-07-05 08:43:45,6.649667,46.510443,1.400,052,2.454
2012-07-05 08:43:46,6.649653,46.510440,1.398,054,2.459
2012-07-05 08:43:47,6.649640,46.510440,1.403,045,2.452
2012-07-05 08:43:48,6.649630,46.510435,1.399,047,2.443
2012-07-05 08:43:49,6.649612,46.510430,1.403,051,2.452
2012-07-05 08:43:50,6.649590,46.510423,1.402,048,2.446
2012-07-05 08:43:51,6.649568,46.510413,1.397,049,2.439
2012-07-05 08:43:52,6.649552,46.510403,1.403,057,2.439
2012-07-05 08:43:53,6.649527,46.510393,1.406,056,2.446
2012-07-05 08:43:54,6.649508,46.510385,1.402,059,2.433
2012-07-05 08:43:55,6.649490,46.510380,1.399,056,2.426
2012-07-05 08:43:56,6.649477,46.510377,1.398,059,2.435
2012-07-05 08:43:57,6.649458,46.510372,1.398,055,2.428
2012-07-05 08:43:58,6.649440,46.510365,1.395,053,2.430
2012-07-05 08:43:59,6.649423,46.510358,1.395,057,2.425
2012-07-05 08:44:00,6.649403,46.510348,1.395,045,2.424
2012-07-05 08:44:01,6.649383,46.510345,1.391,046,2.410
2012-07-05 08:44:02,6.649367,46.510338,1.399,048,2.419
2012-07-05 08:44:03,6.649468,46.510237,1.392,047,2.408
2012-07-05 08:44:04,6.649450,46.510230,1.397,052,2.415
2012-07-05 08:44:05,6.649430,46.510225,1.391,057,2.402
2012-07-05 08:44:06,6.649422,46.510213,1.392,063,2.402
2012-07-05 08:44:07,6.649407,46.510208,1.402,048,2.413
2012-07-05 08:44:08,6.649383,46.510198,1.399,050,2.396
2012-07-05 08:44:09,6.649362,46.510192,1.405,053,2.402
2012-07-05 08:44:10,6.649338,46.510187,1.401,055,2.404
2012-07-05 08:44:11,6.649317,46.510178,1.407,058,2.398
2012-07-05 08:44:12,6.649303,46.510163,1.399,056,2.410
2012-07-05 08:44:13,6.649278,46.510170,1.409,059,2.389
2012-07-05 08:44:14,6.649253,46.510170,1.408,059,2.394
2012-07-05 08:44:15,6.649232,46.510167,1.403,060,2.407
2012-07-05 08:44:16,6.649210,46.510165,1.395,055,2.400
2012-07-05 08:44:17,6.649200,46.510153,1.403,054,2.386
2012-07-05 08:44:18,6.649185,46.510143,1.395,055,2.394
2012-07-05 08:44:19,6.649167,46.510135,1.392,056,2.394
2012-07-05 08:44:20,6.649153,46.510127,1.391,050,2.394
2012-07-05 08:44:21,6.649138,46.510118,1.391,054,2.382
2012-07-05 08:44:22,6.649120,46.510112,1.397,051,2.392
2012-07-05 08:44:23,6.649095,46.510103,1.394,051,2.392
2012-07-05 08:44:24,6.649072,46.510107,1.394,051,2.392
2012-07-05 08:44:25,6.649050,46.510107,1.395,060,2.383
2012-07-05 08:44:26,6.649028,46.510103,1.391,065,2.376
2012-07-05 08:44:27,6.649008,46.510093,1.382,059,2.374
2012-07-05 08:44:28,6.648992,46.510083,1.391,059,2.381
2012-07-05 08:44:29,6.648972,46.510072,1.386,060,2.369
2012-07-05 08:44:30,6.648952,46.510065,1.387,055,2.361
2012-07-05 08:44:31,6.648935,46.510060,1.393,050,2.360
2012-07-05 08:44:32,6.648917,46.510052,1.396,058,2.365
2012-07-05 08:44:33,6.648888,46.510027,1.396,058,2.369
2012-07-05 08:44:34,6.648872,46.510020,1.390,059,2.361
2012-07-05 08:44:36,6.648818,46.509998,1.389,066,2.360
2012-07-05 08:44:37,6.648798,46.509988,1.381,066,2.353
2012-07-05 08:44:38,6.648782,46.509985,1.384,066,2.351
2012-07-05 08:44:39,6.648762,46.509978,1.389,067,2.362
2012-07-05 08:44:40,6.648737,46.509968,1.387,062,2.356
2012-07-05 08:44:41,6.648713,46.509962,1.383,059,2.348
2012-07-05 08:44:42,6.648702,46.509965,1.378,055,2.340
2012-07-05 08:44:43,6.648695,46.509963,1.386,057,2.344
2012-07-05 08:44:44,6.648680,46.509957,1.387,059,2.343
2012-07-05 08:44:45,6.648660,46.509950,1.386,062,2.334
2012-07-05 08:44:46,6.648638,46.509940,1.378,062,2.332
2012-07-05 08:44:47,6.648623,46.509932,1.378,068,2.343
2012-07-05 08:44:48,6.648598,46.509917,1.383,059,2.331
2012-07-05 08:44:49,6.648562,46.509897,1.374,057,2.327
2012-07-05 08:44:50,6.648540,46.509882,1.371,060,2.339
2012-07-05 08:44:51,6.648518,46.509872,1.367,057,2.334
2012-07-05 08:44:52,6.648502,46.509865,1.374,057,2.318
2012-07-05 08:44:53,6.648488,46.509855,1.377,063,2.327
2012-07-05 08:44:54,6.648465,46.509845,1.366,062,2.324
2012-07-05 08:44:55,6.648445,46.509838,1.373,065,2.316
2012-07-05 08:44:56,6.648430,46.509833,1.370,059,2.322
2012-07-05 08:44:57,6.648412,46.509827,1.369,063,2.315
2012-07-05 08:44:58,6.648390,46.509817,1.370,059,2.305
2012-07-05 08:44:59,6.648370,46.509808,1.365,058,2.299
2012-07-05 08:45:00,6.648352,46.509798,1.367,059,2.315
2012-07-05 08:45:01,6.648332,46.509788,1.378,061,2.311
2012-07-05 08:45:02,6.648315,46.509780,1.376,048,2.299
2012-07-05 08:45:03,6.648302,46.509767,1.372,062,2.296
2012-07-05 08:45:04,6.648293,46.509755,1.362,053,2.296
2012-07-05 08:45:05,6.648280,46.509740,1.362,053,2.296
2012-07-05 08:45:06,6.648268,46.509728,1.366,057,2.294
2012-07-05 08:45:07,6.648255,46.509718,1.362,059,2.287
2012-07-05 08:45:08,6.648238,46.509710,1.361,053,2.289
2012-07-05 08:45:09,6.648225,46.509703,1.361,060,2.301
2012-07-05 08:45:10,6.648212,46.509697,1.362,057,2.287
2012-07-05 08:45:11,6.648197,46.509687,1.363,062,2.286
2012-07-05 08:45:12,6.648180,46.509678,1.365,065,2.291
2012-07-05 08:45:13,6.648165,46.509668,1.372,061,2.277
2012-07-05 08:45:14,6.648150,46.509660,1.364,069,2.284
2012-07-05 08:45:15,6.648142,46.509652,1.372,062,2.279
2012-07-05 08:45:16,6.648133,46.509643,1.370,066,2.285
2012-07-05 08:45:17,6.648125,46.509630,1.370,067,2.281
2012-07-05 08:45:18,6.648122,46.509623,1.348,062,2.272
2012-07-05 08:45:19,6.648118,46.509613,1.358,071,2.270
2012-07-05 08:45:20,6.648112,46.509605,1.374,071,2.274
2012-07-05 08:45:21,6.648107,46.509600,1.360,077,2.274
2012-07-05 08:45:22,6.648103,46.509597,1.366,077,2.266
2012-07-05 08:45:23,6.648102,46.509592,1.374,065,2.260
2012-07-05 08:45:24,6.648100,46.509590,1.380,062,2.257
2012-07-05 08:45:25,6.648103,46.509590,1.371,054,2.264
2012-07-05 08:45:26,6.648110,46.509595,1.382,054,2.254
2012-07-05 08:45:27,6.648113,46.509600,1.388,061,2.257
2012-07-05 08:45:28,6.648113,46.509600,1.384,057,2.260
2012-07-05 08:45:29,6.648115,46.509600,1.389,065,2.248
2012-07-05 08:45:30,6.648115,46.509600,1.391,069,2.259
2012-07-05 08:45:31,6.648113,46.509598,1.390,069,2.262
2012-07-05 08:45:32,6.648107,46.509603,1.384,078,2.254
2012-07-05 08:45:33,6.648092,46.509603,1.398,070,2.261
2012-07-05 08:45:34,6.648082,46.509602,1.409,061,2.262
2012-07-05 08:45:35,6.648078,46.509603,1.395,063,2.263
2012-07-05 08:45:36,6.648082,46.509602,1.403,076,2.253
2012-07-05 08:45:37,6.648082,46.509600,1.411,077,2.253
2012-07-05 08:45:38,6.648070,46.509600,1.405,067,2.252
2012-07-05 08:45:39,6.648068,46.509600,1.399,067,2.253
2012-07-05 08:45:40,6.648065,46.509598,1.397,073,2.259
2012-07-05 08:45:41,6.648062,46.509602,1.394,078,2.254
2012-07-05 08:45:42,6.648060,46.509597,1.395,075,2.258
2012-07-05 08:45:43,6.648055,46.509595,1.408,068,2.243
2012-07-05 08:45:44,6.648048,46.509593,1.395,057,2.245
2012-07-05 08:45:45,6.648042,46.509593,1.399,057,2.252
2012-07-05 08:45:46,6.648040,46.509592,1.397,059,2.253
2012-07-05 08:45:47,6.648043,46.509592,1.397,059,2.253
2012-07-05 08:45:48,6.648043,46.509593,1.402,056,2.241
2012-07-05 08:45:49,6.648045,46.509592,1.413,054,2.251
2012-07-05 08:45:50,6.648043,46.509588,1.415,054,2.235
2012-07-05 08:45:51,6.648067,46.509600,1.415,054,2.235
2012-07-05 08:45:52,6.648063,46.509598,1.413,049,2.246
2012-07-05 08:45:53,6.648070,46.509602,1.411,053,2.246
2012-07-05 08:45:54,6.648083,46.509607,1.408,052,2.240
2012-07-05 08:45:55,6.648085,46.509607,1.415,057,2.237
2012-07-05 08:45:56,6.648082,46.509603,1.407,057,2.233
2012-07-05 08:45:57,6.648085,46.509602,1.420,061,2.237
2012-07-05 08:45:58,6.648088,46.509602,1.419,071,2.230
2012-07-05 08:45:59,6.648093,46.509600,1.416,071,2.238
2012-07-05 08:46:00,6.648097,46.509600,1.423,067,2.233
2012-07-05 08:46:01,6.648098,46.509600,1.415,066,2.238
2012-07-05 08:46:02,6.648097,46.509598,1.407,063,2.220
2012-07-05 08:46:03,6.648098,46.509597,1.415,064,2.227
2012-07-05 08:46:04,6.648100,46.509595,1.421,060,2.223
2012-07-05 08:46:05,6.648102,46.509595,1.413,054,2.223
2012-07-05 08:46:06,6.648105,46.509597,1.421,056,2.230
2012-07-05 08:46:07,6.648110,46.509598,1.424,053,2.233
2012-07-05 08:46:08,6.648115,46.509597,1.430,050,2.219
2012-07-05 08:46:09,6.648117,46.509597,1.434,049,2.217
2012-07-05 08:46:10,6.648120,46.509595,1.454,048,2.233
