ts,Lon,Lat,COx,Noise,NOx
2012-06-13 07:07:37,6.646947,46.512642,1.915,083,2.762
2012-06-13 07:07:42,6.646883,46.512458,1.899,080,2.746
2012-06-13 07:07:46,6.646663,46.512368,1.882,076,2.730
2012-06-13 07:08:05,6.649255,46.509883,1.828,090,2.683
2012-06-13 07:08:25,6.647573,46.509558,1.778,069,2.627
2012-06-13 07:09:12,6.644910,46.509327,1.735,083,2.514
2012-06-13 07:09:24,6.643462,46.509382,1.729,090,2.497
2012-06-13 07:10:12,6.637792,46.510875,1.690,074,2.407
2012-06-13 07:10:30,6.637158,46.511142,1.682,089,2.378
2012-06-13 07:10:45,6.636150,46.510920,1.683,082,2.340
2012-06-13 07:10:49,6.635718,46.510715,1.682,084,2.336
2012-06-13 07:10:54,6.635383,46.510350,1.686,088,2.318
2012-06-13 07:11:05,6.635112,46.509678,1.671,074,2.310
2012-06-13 07:11:08,6.634900,46.509663,1.673,081,2.305
2012-06-13 07:11:30,6.632248,46.510908,1.661,088,2.272
2012-06-13 07:12:02,6.629407,46.511575,1.650,089,2.227
2012-06-13 07:12:05,6.629238,46.511472,1.647,088,2.224
2012-06-13 07:12:28,6.628117,46.509910,1.645,088,2.188
2012-06-13 07:12:52,6.626133,46.509180,1.629,073,2.146
2012-06-13 07:13:09,6.625280,46.508080,1.626,089,2.119
2012-06-13 07:13:41,6.624998,46.507823,1.623,069,2.083
2012-06-13 07:13:45,6.624762,46.507813,1.622,070,2.076
2012-06-13 07:13:57,6.623745,46.508320,1.634,092,2.072
2012-06-13 07:14:13,6.621463,46.509072,1.623,091,2.047
2012-06-13 07:14:25,6.619967,46.509967,1.623,086,2.045
2012-06-13 07:14:53,6.617177,46.511883,1.615,092,2.005
2012-06-13 07:15:07,6.615230,46.512675,1.611,090,2.002
2012-06-13 07:15:20,6.613073,46.513272,1.605,089,1.990
2012-06-13 07:15:24,6.612563,46.513548,1.605,087,1.987
2012-06-13 07:15:39,6.611418,46.514383,1.594,087,1.958
2012-06-13 07:15:47,6.610435,46.514947,1.593,091,1.960
2012-06-13 07:16:09,6.606673,46.516003,1.589,092,1.939
2012-06-13 07:16:24,6.604337,46.516387,1.583,079,1.929
2012-06-13 07:16:28,6.604143,46.516615,1.575,097,1.931
2012-06-13 07:16:32,6.604375,46.516933,1.581,080,1.915
2012-06-13 07:16:35,6.604410,46.517228,1.588,087,1.925
2012-06-13 07:16:38,6.604215,46.517492,1.589,082,1.915
2012-06-13 07:16:41,6.603862,46.517672,1.586,089,1.909
2012-06-13 07:16:45,6.603290,46.517702,1.596,089,1.914
2012-06-13 07:16:51,6.602557,46.517370,1.593,092,1.905
2012-06-13 07:16:54,6.602115,46.517328,1.577,088,1.897
2012-06-13 07:17:05,6.600010,46.517797,1.590,087,1.890
2012-06-13 07:17:13,6.598087,46.518453,1.596,091,1.886
2012-06-13 07:18:22,6.578777,46.527570,1.581,091,1.852
2012-06-13 07:18:29,6.576790,46.528625,1.576,096,1.840
2012-06-13 07:18:34,6.575395,46.529475,1.583,099,1.838
2012-06-13 07:18:40,6.573883,46.530610,1.576,097,1.836
2012-06-13 07:18:44,6.573035,46.531455,1.574,090,1.824
2012-06-13 07:18:48,6.572342,46.532355,1.576,089,1.833
2012-06-13 07:18:52,6.571802,46.533293,1.571,091,1.826
2012-06-13 07:18:56,6.571420,46.534257,1.577,090,1.828
2012-06-13 07:19:07,6.570592,46.536880,1.575,092,1.824
2012-06-13 07:19:11,6.570202,46.537800,1.574,090,1.812
2012-06-13 07:19:16,6.569505,46.538880,1.575,090,1.806
2012-06-13 07:19:21,6.568595,46.539765,1.574,085,1.814
