ts,Lon,Lat,COx,Noise,NOx
2014-03-20 07:16:11,6.647012,46.509543,1.570,064,1.187
2014-03-20 07:16:12,6.647047,46.509530,1.564,064,1.190
2014-03-20 07:16:13,6.647065,46.509497,1.572,084,1.184
2014-03-20 07:16:14,6.647070,46.509480,1.569,065,1.188
2014-03-20 07:16:15,6.647027,46.509448,1.568,062,1.184
2014-03-20 07:16:16,6.647038,46.509455,1.551,073,1.184
2014-03-20 07:16:17,6.647020,46.509425,1.531,063,1.180
2014-03-20 07:16:18,6.647017,46.509413,1.528,069,1.177
2014-03-20 07:16:19,6.647005,46.509398,1.529,069,1.171
2014-03-20 07:16:20,6.646995,46.509390,1.525,065,1.174
2014-03-20 07:16:21,6.646982,46.509383,1.535,076,1.180
2014-03-20 07:16:22,6.646962,46.509373,1.536,075,1.179
2014-03-20 07:16:23,6.646957,46.509372,1.520,075,1.172
2014-03-20 07:16:24,6.646947,46.509362,1.521,063,1.172
2014-03-20 07:16:25,6.646910,46.509372,1.523,064,1.168
2014-03-20 07:16:26,6.646880,46.509382,1.520,068,1.169
2014-03-20 07:16:27,6.646865,46.509382,1.523,069,1.168
2014-03-20 07:16:28,6.646852,46.509385,1.519,073,1.161
2014-03-20 07:16:29,6.646850,46.509385,1.510,063,1.155
2014-03-20 07:16:30,6.646848,46.509385,1.517,068,1.132
2014-03-20 07:16:32,6.646842,46.509392,1.523,071,1.122
2014-03-20 07:16:33,6.646825,46.509387,1.509,076,1.126
2014-03-20 07:16:34,6.646818,46.509393,1.509,076,1.126
2014-03-20 07:16:35,6.646810,46.509395,1.513,083,1.122
2014-03-20 07:16:36,6.646805,46.509408,1.510,079,1.132
2014-03-20 07:16:37,6.646792,46.509400,1.513,092,1.128
2014-03-20 07:16:38,6.646785,46.509400,1.515,077,1.133
2014-03-20 07:16:39,6.646777,46.509403,1.513,077,1.132
2014-03-20 07:16:41,6.646767,46.509405,1.509,074,1.139
2014-03-20 07:16:42,6.646762,46.509413,1.506,072,1.134
2014-03-20 07:16:43,6.646750,46.509415,1.506,076,1.139
2014-03-20 07:16:44,6.646742,46.509417,1.514,073,1.135
2014-03-20 07:16:45,6.646733,46.509420,1.529,083,1.135
2014-03-20 07:16:46,6.646728,46.509422,1.531,065,1.142
2014-03-20 07:16:47,6.646713,46.509418,1.528,062,1.141
2014-03-20 07:16:48,6.646702,46.509418,1.530,064,1.136
2014-03-20 07:16:49,6.646693,46.509423,1.525,073,1.142
2014-03-20 07:16:50,6.646687,46.509425,1.535,087,1.139
2014-03-20 07:16:51,6.646682,46.509428,1.528,091,1.139
2014-03-20 07:16:52,6.646675,46.509433,1.535,085,1.139
2014-03-20 07:16:53,6.646673,46.509433,1.537,082,1.138
2014-03-20 07:16:54,6.646670,46.509435,1.538,069,1.139
2014-03-20 07:16:55,6.646667,46.509435,1.539,073,1.143
2014-03-20 07:16:56,6.646660,46.509432,1.541,084,1.148
2014-03-20 07:16:57,6.646652,46.509430,1.539,087,1.145
2014-03-20 07:16:58,6.646645,46.509433,1.548,083,1.140
2014-03-20 07:16:59,6.646642,46.509440,1.543,077,1.145
2014-03-20 07:17:00,6.646633,46.509440,1.549,079,1.146
2014-03-20 07:17:01,6.646627,46.509438,1.548,087,1.143
2014-03-20 07:17:02,6.646628,46.509443,1.547,081,1.150
2014-03-20 07:17:03,6.646620,46.509442,1.545,090,1.144
2014-03-20 07:17:05,6.646598,46.509437,1.543,073,1.147
2014-03-20 07:17:06,6.646583,46.509432,1.529,077,1.146
2014-03-20 07:17:07,6.646572,46.509422,1.526,078,1.147
2014-03-20 07:17:08,6.646562,46.509422,1.519,074,1.142
2014-03-20 07:17:09,6.646555,46.509422,1.514,070,1.140
2014-03-20 07:17:10,6.646558,46.509402,1.512,069,1.143
2014-03-20 07:17:11,6.646567,46.509392,1.517,072,1.137
2014-03-20 07:17:12,6.646567,46.509372,1.506,068,1.141
2014-03-20 07:17:13,6.646570,46.509367,1.510,064,1.135
2014-03-20 07:17:14,6.646570,46.509365,1.501,076,1.135
2014-03-20 07:17:15,6.646575,46.509372,1.506,073,1.138
2014-03-20 07:17:16,6.646580,46.509373,1.506,073,1.138
2014-03-20 07:17:17,6.646587,46.509375,1.502,070,1.132
2014-03-20 07:17:18,6.646588,46.509375,1.516,083,1.130
2014-03-20 07:17:19,6.646588,46.509377,1.513,078,1.131
2014-03-20 07:17:20,6.646588,46.509377,1.519,069,1.132
2014-03-20 07:17:21,6.646588,46.509377,1.525,072,1.133
2014-03-20 07:17:22,6.646587,46.509378,1.519,075,1.131
2014-03-20 07:17:23,6.646588,46.509378,1.519,071,1.132
2014-03-20 07:17:24,6.646590,46.509380,1.516,075,1.130
2014-03-20 07:17:25,6.646590,46.509380,1.514,079,1.127
2014-03-20 07:17:26,6.646590,46.509380,1.522,076,1.132
2014-03-20 07:17:27,6.646592,46.509380,1.519,078,1.127
2014-03-20 07:17:28,6.646592,46.509382,1.512,088,1.129
2014-03-20 07:17:29,6.646593,46.509382,1.506,092,1.127
2014-03-20 07:17:30,6.646593,46.509382,1.502,081,1.128
2014-03-20 07:17:31,6.646593,46.509383,1.500,091,1.119
2014-03-20 07:17:32,6.646595,46.509383,1.504,086,1.122
2014-03-20 07:17:33,6.646597,46.509383,1.494,091,1.114
2014-03-20 07:17:34,6.646597,46.509383,1.488,082,1.116
2014-03-20 07:17:35,6.646597,46.509385,1.501,075,1.114
2014-03-20 07:17:36,6.646595,46.509385,1.506,087,1.114
