ts,Lon,Lat,COx,Noise,NOx
2014-04-09 06:14:37,6.646492,46.509407,1.551,088,1.378
2014-04-09 06:14:38,6.646492,46.509400,1.554,088,1.381
2014-04-09 06:14:39,6.646490,46.509397,1.550,083,1.378
2014-04-09 06:14:40,6.646478,46.509393,1.548,076,1.376
2014-04-09 06:14:41,6.646453,46.509397,1.538,077,1.382
2014-04-09 06:14:42,6.646433,46.509392,1.532,081,1.377
2014-04-09 06:14:43,6.646420,46.509390,1.530,079,1.380
2014-04-09 06:14:44,6.646398,46.509390,1.523,075,1.374
2014-04-09 06:14:45,6.646362,46.509398,1.535,074,1.365
2014-04-09 06:14:46,6.646337,46.509392,1.527,078,1.365
2014-04-09 06:14:47,6.646312,46.509377,1.533,076,1.370
2014-04-09 06:14:48,6.646292,46.509368,1.531,075,1.362
2014-04-09 06:14:49,6.646273,46.509365,1.529,078,1.361
2014-04-09 06:14:50,6.646250,46.509365,1.524,071,1.361
2014-04-09 06:14:51,6.646223,46.509365,1.520,068,1.348
2014-04-09 06:14:52,6.646195,46.509372,1.498,068,1.345
2014-04-09 06:14:53,6.646172,46.509372,1.494,073,1.336
2014-04-09 06:14:54,6.646145,46.509382,1.494,073,1.336
2014-04-09 06:14:55,6.646128,46.509385,1.483,073,1.337
2014-04-09 06:14:56,6.646112,46.509385,1.493,074,1.327
2014-04-09 06:14:57,6.646093,46.509383,1.482,070,1.323
2014-04-09 06:14:58,6.646077,46.509385,1.491,068,1.321
2014-04-09 06:14:59,6.646057,46.509383,1.493,062,1.330
2014-04-09 06:15:00,6.646032,46.509385,1.498,060,1.320
2014-04-09 06:15:01,6.646008,46.509397,1.491,059,1.325
2014-04-09 06:15:02,6.645987,46.509405,1.491,056,1.328
2014-04-09 06:15:03,6.645973,46.509402,1.496,057,1.330
2014-04-09 06:15:04,6.645963,46.509390,1.490,061,1.322
2014-04-09 06:15:05,6.645965,46.509383,1.489,064,1.317
2014-04-09 06:15:06,6.645955,46.509382,1.557,080,1.316
2014-04-09 06:15:07,6.645948,46.509382,1.525,077,1.311
2014-04-09 06:15:08,6.645950,46.509370,1.530,074,1.308
2014-04-09 06:15:09,6.645952,46.509355,1.503,092,1.308
2014-04-09 06:15:10,6.645945,46.509365,1.492,081,1.307
2014-04-09 06:15:11,6.645932,46.509370,1.494,069,1.303
2014-04-09 06:15:12,6.645912,46.509373,1.499,069,1.306
2014-04-09 06:15:13,6.645888,46.509375,1.495,066,1.303
2014-04-09 06:15:14,6.645865,46.509375,1.498,058,1.308
2014-04-09 06:15:15,6.645848,46.509368,1.473,079,1.302
2014-04-09 06:15:16,6.645823,46.509370,1.475,069,1.303
2014-04-09 06:15:17,6.645802,46.509367,1.463,066,1.299
2014-04-09 06:15:18,6.645785,46.509362,1.469,063,1.294
2014-04-09 06:15:19,6.645765,46.509360,1.473,058,1.300
2014-04-09 06:15:20,6.645747,46.509353,1.465,063,1.251
2014-04-09 06:15:21,6.645733,46.509350,1.452,075,1.243
2014-04-09 06:15:22,6.645727,46.509367,1.471,086,1.292
2014-04-09 06:15:23,6.645710,46.509363,1.476,068,1.289
2014-04-09 06:15:24,6.645688,46.509358,1.449,074,1.219
2014-04-09 06:15:25,6.645668,46.509355,1.480,080,1.285
2014-04-09 06:15:26,6.645642,46.509343,1.473,079,1.279
2014-04-09 06:15:27,6.645618,46.509343,1.467,087,1.279
2014-04-09 06:15:28,6.645600,46.509340,1.458,082,1.252
2014-04-09 06:15:29,6.645582,46.509330,1.467,074,1.271
2014-04-09 06:15:30,6.645562,46.509327,1.469,072,1.284
2014-04-09 06:15:31,6.645533,46.509335,1.462,076,1.287
2014-04-09 06:15:32,6.645513,46.509333,1.468,077,1.285
2014-04-09 06:15:33,6.645492,46.509330,1.470,083,1.283
2014-04-09 06:15:34,6.645472,46.509328,1.470,077,1.277
2014-04-09 06:15:35,6.645445,46.509325,1.464,077,1.283
2014-04-09 06:15:36,6.645418,46.509328,1.464,077,1.283
2014-04-09 06:15:37,6.645402,46.509340,1.457,079,1.278
2014-04-09 06:15:38,6.645385,46.509345,1.457,073,1.275
2014-04-09 06:15:39,6.645363,46.509333,1.456,074,1.272
2014-04-09 06:15:40,6.645342,46.509335,1.467,073,1.273
2014-04-09 06:15:41,6.645320,46.509333,1.461,076,1.274
2014-04-09 06:15:42,6.645303,46.509337,1.459,072,1.271
2014-04-09 06:15:43,6.645283,46.509328,1.457,073,1.275
2014-04-09 06:15:44,6.645258,46.509313,1.467,072,1.269
2014-04-09 06:15:45,6.645240,46.509300,1.456,068,1.274
2014-04-09 06:15:46,6.645225,46.509298,1.451,070,1.271
2014-04-09 06:15:47,6.645207,46.509303,1.449,065,1.267
2014-04-09 06:15:48,6.645190,46.509302,1.448,068,1.263
2014-04-09 06:15:49,6.645167,46.509302,1.443,068,1.264
2014-04-09 06:15:50,6.645138,46.509300,1.444,073,1.259
2014-04-09 06:15:51,6.645110,46.509298,1.432,076,1.250
2014-04-09 06:15:52,6.645093,46.509302,1.435,073,1.247
2014-04-09 06:15:53,6.645073,46.509295,1.429,076,1.244
2014-04-09 06:15:54,6.645052,46.509297,1.426,080,1.239
2014-04-09 06:15:55,6.645030,46.509298,1.425,088,1.234
2014-04-09 06:15:56,6.645000,46.509305,1.422,080,1.242
2014-04-09 06:15:57,6.644977,46.509312,1.420,082,1.232
2014-04-09 06:15:58,6.644957,46.509313,1.416,076,1.232
2014-04-09 06:15:59,6.644933,46.509308,1.425,079,1.229
2014-04-09 06:16:00,6.644910,46.509298,1.426,073,1.230
2014-04-09 06:16:01,6.644898,46.509280,1.430,070,1.235
2014-04-09 06:16:02,6.644875,46.509273,1.424,076,1.231
2014-04-09 06:16:03,6.644853,46.509268,1.434,070,1.232
2014-04-09 06:16:04,6.644828,46.509270,1.436,076,1.236
2014-04-09 06:16:05,6.644795,46.509273,1.435,083,1.228
2014-04-09 06:16:06,6.644770,46.509268,1.419,089,1.217
2014-04-09 06:16:07,6.644738,46.509258,1.400,087,1.192
2014-04-09 06:16:08,6.644708,46.509267,1.416,089,1.210
2014-04-09 06:16:09,6.644678,46.509268,1.413,091,1.201
2014-04-09 06:16:10,6.644653,46.509268,1.415,088,1.202
2014-04-09 06:16:11,6.644633,46.509267,1.412,089,1.204
2014-04-09 06:16:12,6.644620,46.509268,1.403,085,1.161
2014-04-09 06:16:13,6.644595,46.509263,1.406,090,1.188
2014-04-09 06:16:14,6.644582,46.509262,1.401,088,1.179
2014-04-09 06:16:15,6.644562,46.509263,1.395,090,1.176
2014-04-09 06:16:16,6.644535,46.509268,1.389,088,1.169
2014-04-09 06:16:17,6.644518,46.509265,1.389,088,1.169
2014-04-09 06:16:18,6.644498,46.509273,1.381,082,1.178
