ts,Lon,Lat,COx,Noise,NOx
2012-07-19 15:03:03,-118.567703,34.180118,1.599,053,2.343
2012-07-19 15:03:04,-118.567720,34.180110,1.605,061,2.351
2012-07-19 15:03:05,-118.567715,34.180098,1.605,067,2.362
2012-07-19 15:03:07,-118.567752,34.180147,1.565,062,2.350
2012-07-19 15:03:08,-118.567807,34.180150,1.545,062,2.353
2012-07-19 15:03:09,-118.567812,34.180137,1.531,064,2.327
2012-07-19 15:03:11,-118.567807,34.180122,1.551,051,2.323
2012-07-19 15:03:21,-118.567720,34.180078,1.576,056,2.279
2012-07-19 15:03:30,-118.567727,34.180088,1.535,059,2.253
2012-07-19 15:06:13,-118.567700,34.180090,2.408,081,1.918
2012-07-19 15:06:17,-118.567673,34.180120,2.064,079,1.891
2012-07-19 15:06:19,-118.567660,34.180122,2.026,078,1.892
2012-07-19 15:06:21,-118.567670,34.180107,2.026,081,1.891
2012-07-19 15:06:25,-118.567683,34.180130,2.047,074,1.864
2012-07-19 15:07:03,-118.567707,34.180135,1.559,072,1.777
2012-07-19 15:07:07,-118.567700,34.180118,1.618,073,1.788
2012-07-19 15:07:11,-118.567688,34.180067,1.667,079,1.798
2012-07-19 15:07:16,-118.567677,34.180055,1.619,073,1.802
2012-07-19 15:07:18,-118.567683,34.180040,1.604,070,1.797
2012-07-19 15:07:21,-118.567677,34.180042,1.605,071,1.792
2012-07-19 15:07:27,-118.567673,34.180023,1.751,070,1.795
2012-07-19 15:07:30,-118.567692,34.179980,1.749,074,1.786
2012-07-19 15:07:32,-118.567708,34.179972,1.733,073,1.782
2012-07-19 15:07:43,-118.567728,34.179977,1.745,075,1.787
2012-07-19 15:07:49,-118.567752,34.179947,1.764,087,1.778
2012-07-19 15:07:51,-118.567812,34.179945,1.745,088,1.784
2012-07-19 15:07:55,-118.568107,34.180010,1.449,089,1.698
2012-07-19 15:07:59,-118.568487,34.180082,1.382,068,1.686
2012-07-19 15:08:02,-118.568697,34.180133,1.381,087,1.655
2012-07-19 15:08:09,-118.569392,34.180228,1.344,084,1.660
2012-07-19 15:08:11,-118.569593,34.180245,1.270,082,1.542
2012-07-19 15:08:12,-118.569675,34.180230,1.329,077,1.660
2012-07-19 15:08:15,-118.569908,34.180233,1.356,075,1.659
2012-07-19 15:08:18,-118.570155,34.180260,1.341,077,1.647
2012-07-19 15:08:19,-118.570225,34.180257,1.325,081,1.605
2012-07-19 15:08:22,-118.570367,34.180267,1.415,075,1.651
2012-07-19 15:08:28,-118.570377,34.180258,1.478,068,1.667
2012-07-19 15:08:44,-118.570723,34.180278,1.442,073,1.654
2012-07-19 15:08:46,-118.570872,34.180257,1.468,086,1.663
2012-07-19 15:08:47,-118.570928,34.180220,1.457,090,1.648
2012-07-19 15:08:48,-118.570968,34.180165,1.428,087,1.648
2012-07-19 15:08:50,-118.571000,34.179988,1.426,091,1.577
2012-07-19 15:08:52,-118.571010,34.179773,1.329,091,1.536
2012-07-19 15:08:54,-118.571057,34.179532,1.313,089,1.541
2012-07-19 15:08:56,-118.571090,34.179275,1.333,088,1.568
2012-07-19 15:08:58,-118.571145,34.179013,1.331,084,1.568
2012-07-19 15:09:01,-118.571268,34.178615,1.197,088,1.353
2012-07-19 15:09:03,-118.571385,34.178347,1.259,091,1.351
2012-07-19 15:09:05,-118.571487,34.178072,1.105,091,1.207
2012-07-19 15:09:07,-118.571555,34.177800,1.317,089,1.534
2012-07-19 15:09:09,-118.571582,34.177533,1.188,091,1.319
2012-07-19 15:09:11,-118.571543,34.177262,1.294,083,1.522
2012-07-19 15:09:12,-118.571508,34.177137,1.072,091,1.065
2012-07-19 15:09:15,-118.571340,34.176773,1.264,089,1.460
2012-07-19 15:09:17,-118.571205,34.176540,1.208,089,1.434
2012-07-19 15:09:21,-118.571037,34.176123,1.236,088,1.432
2012-07-19 15:09:22,-118.571013,34.176050,1.251,072,1.510
2012-07-19 15:09:25,-118.570995,34.175938,1.301,071,1.539
2012-07-19 15:09:28,-118.571000,34.175932,1.348,069,1.555
2012-07-19 15:09:46,-118.570977,34.174550,1.294,090,1.490
2012-07-19 15:09:53,-118.570983,34.173725,1.293,086,1.393
2012-07-19 15:09:59,-118.570980,34.173277,1.354,075,1.513
2012-07-19 15:10:03,-118.570970,34.173175,1.367,080,1.538
2012-07-19 15:10:05,-118.570987,34.173115,1.390,088,1.539
2012-07-19 15:10:10,-118.570978,34.172825,1.532,088,1.542
2012-07-19 15:10:13,-118.570955,34.172568,1.720,085,1.546
2012-07-19 15:10:18,-118.570938,34.172145,1.817,086,1.524
2012-07-19 15:10:19,-118.570923,34.172075,1.778,088,1.541
2012-07-19 15:10:21,-118.570872,34.171947,1.717,085,1.535
2012-07-19 15:10:23,-118.570753,34.171913,1.638,091,1.539
2012-07-19 15:10:24,-118.570678,34.171935,1.580,089,1.535
2012-07-19 15:10:26,-118.570480,34.172005,1.486,086,1.499
2012-07-19 15:10:29,-118.570103,34.172168,1.456,088,1.438
2012-07-19 15:10:32,-118.569652,34.172345,1.680,091,1.429
2012-07-19 15:10:34,-118.569298,34.172467,1.555,090,1.119
2012-07-19 15:10:36,-118.568907,34.172572,1.548,092,1.407
2012-07-19 15:10:41,-118.567852,34.172778,1.432,092,1.453
2012-07-19 15:10:43,-118.567397,34.172853,1.441,092,1.472
2012-07-19 15:10:47,-118.566423,34.172957,1.416,090,1.473
2012-07-19 15:10:58,-118.563470,34.173203,1.526,088,1.476
2012-07-19 15:11:01,-118.562642,34.173287,1.426,089,1.468
2012-07-19 15:11:07,-118.561003,34.173430,1.348,088,1.449
2012-07-19 15:11:11,-118.559912,34.173508,1.242,091,1.263
2012-07-19 15:11:15,-118.558817,34.173550,1.364,082,1.451
2012-07-19 15:11:20,-118.557428,34.173525,1.390,090,1.436
2012-07-19 15:11:26,-118.555713,34.173512,1.424,091,1.441
2012-07-19 15:11:27,-118.555418,34.173502,1.416,092,1.395
2012-07-19 15:11:34,-118.553368,34.173475,1.440,092,1.465
2012-07-19 15:11:49,-118.549318,34.173405,1.461,092,1.473
2012-07-19 15:11:53,-118.548367,34.173415,1.435,092,1.461
2012-07-19 15:12:06,-118.545103,34.173372,1.453,091,1.412
2012-07-19 15:12:22,-118.540953,34.173300,1.448,091,1.420
2012-07-19 15:12:28,-118.539300,34.173280,1.415,089,1.400
2012-07-19 15:12:37,-118.536768,34.173232,1.174,092,1.058
2012-07-19 15:12:38,-118.536497,34.173223,1.174,092,1.058
2012-07-19 15:12:40,-118.535962,34.173192,1.396,092,1.393
2012-07-19 15:12:41,-118.535700,34.173163,1.411,089,1.390
2012-07-19 15:12:42,-118.535437,34.173123,1.415,091,1.395
2012-07-19 15:12:44,-118.534908,34.173012,1.399,089,1.385
2012-07-19 15:12:46,-118.534390,34.172863,1.405,090,1.403
2012-07-19 15:12:47,-118.534130,34.172775,1.268,091,1.155
2012-07-19 15:12:48,-118.533877,34.172677,1.399,090,1.378
2012-07-19 15:12:57,-118.531803,34.171782,1.411,088,1.385
2012-07-19 15:12:59,-118.531407,34.171627,1.419,091,1.393
2012-07-19 15:13:00,-118.531212,34.171560,1.422,090,1.398
2012-07-19 15:13:03,-118.530647,34.171395,1.426,087,1.391
2012-07-19 15:13:05,-118.530265,34.171300,1.437,090,1.391
2012-07-19 15:13:07,-118.529877,34.171220,1.464,089,1.391
2012-07-19 15:13:09,-118.529490,34.171175,1.538,088,1.374
2012-07-19 15:13:12,-118.528943,34.171127,1.544,089,1.392
2012-07-19 15:13:15,-118.528433,34.171105,1.494,086,1.396
2012-07-19 15:13:18,-118.527995,34.171100,1.498,083,1.408
2012-07-19 15:13:23,-118.527315,34.171115,1.486,090,1.397
2012-07-19 15:13:27,-118.526702,34.171118,1.479,090,1.391
2012-07-19 15:13:34,-118.525588,34.171145,1.502,092,1.305
2012-07-19 15:13:36,-118.525242,34.171143,1.530,089,1.373
2012-07-19 15:13:38,-118.524875,34.171155,1.554,088,1.390
2012-07-19 15:13:51,-118.522463,34.171163,1.500,089,1.387
2012-07-19 15:14:00,-118.520822,34.171160,1.522,091,1.386
2012-07-19 15:14:06,-118.519707,34.171138,1.486,088,1.229
2012-07-19 15:14:09,-118.519145,34.171137,1.515,089,1.384
2012-07-19 15:14:11,-118.518775,34.171123,1.531,089,1.387
2012-07-19 15:14:25,-118.516550,34.171125,1.547,080,1.407
2012-07-19 15:14:38,-118.514907,34.171100,1.560,079,1.417
2012-07-19 15:14:47,-118.513663,34.171123,1.548,089,1.402
2012-07-19 15:14:58,-118.511560,34.171122,1.557,090,1.379
2012-07-19 15:15:02,-118.510802,34.171128,1.500,088,1.369
2012-07-19 15:15:20,-118.507693,34.171095,1.502,090,1.391
2012-07-19 15:15:23,-118.507292,34.171107,1.510,083,1.389
2012-07-19 15:15:35,-118.506033,34.171118,1.567,088,1.388
2012-07-19 15:15:39,-118.505412,34.171108,1.545,087,1.367
2012-07-19 15:15:42,-118.504915,34.171112,1.555,087,1.357
2012-07-19 15:15:45,-118.504373,34.171102,1.573,090,1.343
2012-07-19 15:15:46,-118.504183,34.171090,1.574,089,1.353
2012-07-19 15:15:48,-118.503780,34.171047,1.588,087,1.360
2012-07-19 15:15:51,-118.503150,34.170943,1.590,088,1.348
2012-07-19 15:15:54,-118.502515,34.170807,1.579,088,1.362
2012-07-19 15:15:56,-118.502102,34.170703,1.560,091,1.377
2012-07-19 15:15:58,-118.501703,34.170582,1.542,086,1.361
2012-07-19 15:16:00,-118.501330,34.170448,1.535,090,1.370
2012-07-19 15:16:02,-118.500965,34.170298,1.511,089,1.374
2012-07-19 15:16:04,-118.500602,34.170125,1.510,086,1.383
2012-07-19 15:16:07,-118.500065,34.169833,1.515,088,1.393
2012-07-19 15:16:11,-118.499425,34.169430,1.528,087,1.402
2012-07-19 15:16:18,-118.498392,34.168760,1.504,088,1.399
2012-07-19 15:16:24,-118.497655,34.168273,1.496,083,1.401
2012-07-19 15:16:28,-118.497265,34.168002,1.508,085,1.400
2012-07-19 15:16:33,-118.496820,34.167723,1.529,087,1.399
2012-07-19 15:16:35,-118.496672,34.167605,1.550,088,1.404
2012-07-19 15:16:41,-118.496297,34.167348,1.558,084,1.403
2012-07-19 15:16:49,-118.496043,34.167160,1.585,077,1.425
2012-07-19 15:16:50,-118.496013,34.167112,1.582,086,1.416
2012-07-19 15:16:52,-118.495912,34.167072,1.583,081,1.426
2012-07-19 15:16:54,-118.495827,34.167020,1.576,089,1.424
2012-07-19 15:16:57,-118.495670,34.166942,1.581,072,1.423
2012-07-19 15:17:03,-118.495217,34.166670,1.618,089,1.370
2012-07-19 15:17:04,-118.495110,34.166620,1.611,092,1.369
2012-07-19 15:17:11,-118.494360,34.166140,1.651,090,1.367
2012-07-19 15:17:14,-118.493967,34.165937,1.677,086,1.365
2012-07-19 15:17:18,-118.493368,34.165675,1.699,091,1.376
2012-07-19 15:17:23,-118.492562,34.165383,1.623,089,1.362
2012-07-19 15:17:25,-118.492243,34.165293,1.604,092,1.370
2012-07-19 15:17:26,-118.492083,34.165258,1.605,089,1.368
2012-07-19 15:17:29,-118.491603,34.165192,1.588,089,1.361
2012-07-19 15:17:31,-118.491313,34.165162,1.575,088,1.373
2012-07-19 15:17:35,-118.490767,34.165125,1.566,084,1.376
2012-07-19 15:17:38,-118.490355,34.165115,1.548,085,1.358
2012-07-19 15:17:44,-118.489490,34.165122,1.550,089,1.371
2012-07-19 15:17:52,-118.488305,34.165143,1.593,087,1.371
2012-07-19 15:17:56,-118.487780,34.165140,1.564,086,1.365
2012-07-19 15:17:59,-118.487527,34.165167,1.564,088,1.367
2012-07-19 15:18:02,-118.487382,34.165170,1.588,086,1.366
2012-07-19 15:18:13,-118.486407,34.165165,1.619,089,1.341
2012-07-19 15:18:22,-118.485228,34.165183,1.673,091,1.286
2012-07-19 15:18:26,-118.484657,34.165155,1.699,082,1.303
2012-07-19 15:18:35,-118.483405,34.165190,1.766,090,1.321
2012-07-19 15:18:36,-118.483255,34.165190,1.719,088,1.292
2012-07-19 15:18:37,-118.483112,34.165190,1.706,085,1.326
2012-07-19 15:18:38,-118.482972,34.165190,1.676,083,1.337
2012-07-19 15:18:45,-118.482003,34.165222,1.648,088,1.335
2012-07-19 15:18:49,-118.481383,34.165228,1.680,086,1.347
2012-07-19 15:18:57,-118.480327,34.165227,1.647,083,1.343
2012-07-19 15:18:59,-118.480135,34.165233,1.657,084,1.345
2012-07-19 15:19:03,-118.479753,34.165227,1.663,080,1.348
2012-07-19 15:19:05,-118.479617,34.165228,1.659,083,1.345
2012-07-19 15:19:09,-118.479525,34.165242,1.661,087,1.335
2012-07-19 15:19:13,-118.479527,34.165228,1.665,086,1.349
2012-07-19 15:19:16,-118.479505,34.165223,1.655,083,1.343
2012-07-19 15:19:25,-118.479330,34.165232,1.671,081,1.352
2012-07-19 15:19:31,-118.479190,34.165227,1.699,083,1.365
2012-07-19 15:19:33,-118.479085,34.165237,1.713,083,1.362
2012-07-19 15:19:34,-118.479020,34.165233,1.713,083,1.362
2012-07-19 15:19:38,-118.478723,34.165237,1.697,084,1.374
2012-07-19 15:19:42,-118.478383,34.165227,1.677,081,1.361
2012-07-19 15:19:49,-118.478025,34.165242,1.700,085,1.366
2012-07-19 15:19:53,-118.477963,34.165252,1.827,083,1.369
2012-07-19 15:19:57,-118.477855,34.165232,1.791,087,1.365
2012-07-19 15:20:01,-118.477708,34.165247,1.794,090,1.370
2012-07-19 15:20:06,-118.477415,34.165252,1.750,084,1.374
2012-07-19 15:20:11,-118.477305,34.165250,1.660,086,1.358
2012-07-19 15:20:16,-118.477238,34.165242,1.676,082,1.350
2012-07-19 15:20:27,-118.477235,34.165235,1.741,088,1.368
2012-07-19 15:20:33,-118.477028,34.165242,1.686,081,1.370
2012-07-19 15:20:35,-118.476952,34.165237,1.692,081,1.363
2012-07-19 15:20:41,-118.476773,34.165247,1.704,075,1.366
2012-07-19 15:21:03,-118.476600,34.165237,1.621,090,1.351
2012-07-19 15:21:10,-118.476065,34.165190,1.636,078,1.351
2012-07-19 15:21:14,-118.475805,34.165148,1.673,086,1.347
2012-07-19 15:21:19,-118.475523,34.165088,1.696,079,1.354
2012-07-19 15:21:27,-118.475445,34.165078,1.694,084,1.349
2012-07-19 15:21:35,-118.475228,34.165022,1.690,090,1.329
2012-07-19 15:21:38,-118.475223,34.165027,1.766,085,1.326
2012-07-19 15:21:43,-118.475060,34.164995,1.684,087,1.325
2012-07-19 15:21:57,-118.474572,34.164853,1.663,088,1.328
2012-07-19 15:21:59,-118.474478,34.164818,1.676,080,1.330
2012-07-19 15:22:06,-118.474095,34.164643,1.638,087,1.329
2012-07-19 15:22:09,-118.473972,34.164575,1.641,082,1.332
2012-07-19 15:22:12,-118.473888,34.164518,1.647,087,1.338
2012-07-19 15:22:16,-118.473807,34.164483,1.709,083,1.327
2012-07-19 15:22:21,-118.473815,34.164478,1.672,079,1.338
2012-07-19 15:22:26,-118.473750,34.164472,1.631,083,1.330
2012-07-19 15:22:27,-118.473708,34.164457,1.642,092,1.335
2012-07-19 15:22:29,-118.473642,34.164415,1.622,088,1.330
2012-07-19 15:22:32,-118.473555,34.164325,1.630,084,1.337
2012-07-19 15:22:38,-118.473320,34.164170,1.603,087,1.326
2012-07-19 15:22:42,-118.473127,34.164005,1.606,079,1.321
2012-07-19 15:22:46,-118.472948,34.163822,1.644,087,1.318
2012-07-19 15:22:50,-118.472797,34.163652,1.673,092,1.316
2012-07-19 15:22:52,-118.472737,34.163563,1.663,088,1.311
2012-07-19 15:23:02,-118.472450,34.163212,1.647,086,1.321
2012-07-19 15:23:15,-118.472350,34.163117,1.661,081,1.320
2012-07-19 15:23:18,-118.472275,34.163015,1.667,080,1.326
2012-07-19 15:23:26,-118.472107,34.162753,1.658,086,1.329
2012-07-19 15:23:32,-118.472023,34.162572,1.641,085,1.332
2012-07-19 15:23:36,-118.471937,34.162415,1.638,082,1.324
2012-07-19 15:23:39,-118.471883,34.162300,1.651,088,1.321
2012-07-19 15:23:45,-118.471843,34.162150,1.677,082,1.329
2012-07-19 15:23:49,-118.471808,34.162062,1.686,075,1.343
2012-07-19 15:23:58,-118.471725,34.161940,1.832,076,1.354
