ts,Lon,Lat,COx,Noise,NOx
2014-03-27 07:19:04,6.645892,46.509385,1.520,060,1.242
2014-03-27 07:19:05,6.645872,46.509380,1.519,068,1.245
2014-03-27 07:19:06,6.645862,46.509373,1.520,063,1.244
2014-03-27 07:19:07,6.645848,46.509360,1.520,063,1.244
2014-03-27 07:19:08,6.645833,46.509362,1.528,061,1.231
2014-03-27 07:19:09,6.645818,46.509353,1.526,062,1.235
2014-03-27 07:19:10,6.645805,46.509347,1.522,060,1.228
2014-03-27 07:19:11,6.645790,46.509345,1.519,062,1.227
2014-03-27 07:19:12,6.645770,46.509345,1.513,060,1.228
2014-03-27 07:19:13,6.645752,46.509345,1.519,063,1.229
2014-03-27 07:19:14,6.645737,46.509343,1.509,064,1.218
2014-03-27 07:19:15,6.645715,46.509343,1.502,064,1.216
2014-03-27 07:19:16,6.645700,46.509338,1.498,061,1.217
2014-03-27 07:19:17,6.645680,46.509338,1.502,064,1.213
2014-03-27 07:19:18,6.645665,46.509337,1.506,064,1.212
2014-03-27 07:19:19,6.645650,46.509335,1.494,064,1.213
2014-03-27 07:19:20,6.645638,46.509337,1.495,063,1.216
2014-03-27 07:19:21,6.645622,46.509335,1.506,062,1.212
2014-03-27 07:19:22,6.645598,46.509328,1.494,066,1.218
2014-03-27 07:19:23,6.645585,46.509328,1.496,067,1.210
2014-03-27 07:19:24,6.645565,46.509325,1.499,064,1.205
2014-03-27 07:19:25,6.645548,46.509322,1.490,066,1.208
2014-03-27 07:19:26,6.645533,46.509315,1.499,065,1.203
2014-03-27 07:19:27,6.645513,46.509313,1.491,066,1.201
2014-03-27 07:19:28,6.645495,46.509310,1.490,067,1.197
2014-03-27 07:19:29,6.645475,46.509303,1.493,071,1.197
2014-03-27 07:19:30,6.645462,46.509302,1.494,071,1.201
2014-03-27 07:19:31,6.645452,46.509293,1.494,084,1.197
2014-03-27 07:19:32,6.645435,46.509295,1.494,079,1.190
2014-03-27 07:19:33,6.645398,46.509288,1.494,074,1.195
2014-03-27 07:19:34,6.645378,46.509290,1.501,085,1.187
2014-03-27 07:19:35,6.645360,46.509290,1.500,079,1.186
2014-03-27 07:19:36,6.645338,46.509275,1.497,082,1.193
2014-03-27 07:19:37,6.645305,46.509272,1.506,081,1.191
2014-03-27 07:19:38,6.645292,46.509270,1.504,068,1.188
2014-03-27 07:19:39,6.645265,46.509273,1.506,064,1.187
2014-03-27 07:19:40,6.645243,46.509267,1.497,069,1.190
2014-03-27 07:19:41,6.645222,46.509262,1.498,079,1.181
2014-03-27 07:19:42,6.645208,46.509257,1.497,078,1.188
