ts,Lon,Lat,COx,Noise,NOx
2014-03-18 07:06:41,6.648053,46.509470,1.553,069,1.552
2014-03-18 07:06:42,6.648142,46.509570,1.554,084,1.537
2014-03-18 07:06:43,6.648127,46.509603,1.551,092,1.537
2014-03-18 07:06:44,6.648130,46.509608,1.532,084,1.543
2014-03-18 07:06:45,6.648062,46.509552,1.531,076,1.544
2014-03-18 07:06:46,6.648012,46.509517,1.531,074,1.538
2014-03-18 07:06:47,6.647998,46.509497,1.529,062,1.539
2014-03-18 07:06:48,6.647982,46.509467,1.529,088,1.541
2014-03-18 07:06:49,6.647958,46.509442,1.536,076,1.538
2014-03-18 07:06:50,6.647947,46.509428,1.548,066,1.539
2014-03-18 07:06:51,6.647943,46.509437,1.550,062,1.536
2014-03-18 07:06:52,6.647940,46.509440,1.553,063,1.527
2014-03-18 07:06:53,6.647940,46.509452,1.557,069,1.523
2014-03-18 07:06:54,6.647930,46.509452,1.567,068,1.522
2014-03-18 07:06:55,6.647923,46.509453,1.570,073,1.526
2014-03-18 07:06:56,6.647903,46.509452,1.577,068,1.531
2014-03-18 07:06:57,6.647895,46.509462,1.585,076,1.531
2014-03-18 07:06:58,6.647878,46.509470,1.593,076,1.524
2014-03-18 07:06:59,6.647873,46.509478,1.595,074,1.530
2014-03-18 07:07:00,6.647878,46.509495,1.610,082,1.527
2014-03-18 07:07:01,6.647857,46.509495,1.629,092,1.527
2014-03-18 07:07:02,6.647845,46.509507,1.642,083,1.531
2014-03-18 07:07:03,6.647832,46.509508,1.648,085,1.530
2014-03-18 07:07:04,6.647838,46.509527,1.648,084,1.526
2014-03-18 07:07:05,6.647842,46.509543,1.644,092,1.513
2014-03-18 07:07:06,6.647833,46.509545,1.621,088,1.511
2014-03-18 07:07:07,6.647833,46.509540,1.605,080,1.511
2014-03-18 07:07:08,6.647825,46.509528,1.596,078,1.511
2014-03-18 07:07:09,6.647817,46.509518,1.592,084,1.515
2014-03-18 07:07:10,6.647808,46.509512,1.585,091,1.510
2014-03-18 07:07:11,6.647800,46.509508,1.657,091,1.513
2014-03-18 07:07:12,6.647800,46.509505,1.819,090,1.519
2014-03-18 07:07:13,6.647802,46.509503,1.988,101,1.523
2014-03-18 07:07:14,6.647798,46.509498,1.956,091,1.512
2014-03-18 07:07:15,6.647785,46.509497,1.837,091,1.515
2014-03-18 07:07:16,6.647768,46.509493,1.772,074,1.506
2014-03-18 07:07:17,6.647748,46.509483,1.714,087,1.513
2014-03-18 07:07:18,6.647733,46.509478,1.714,087,1.513
2014-03-18 07:07:19,6.647722,46.509482,1.762,081,1.503
2014-03-18 07:07:20,6.647710,46.509483,1.748,081,1.512
2014-03-18 07:07:21,6.647692,46.509480,1.854,092,1.512
2014-03-18 07:07:22,6.647677,46.509475,1.845,078,1.512
2014-03-18 07:07:23,6.647668,46.509473,1.754,075,1.500
2014-03-18 07:07:24,6.647655,46.509472,1.692,067,1.506
2014-03-18 07:07:25,6.647635,46.509467,1.724,065,1.502
2014-03-18 07:07:26,6.647625,46.509460,1.728,068,1.499
2014-03-18 07:07:27,6.647620,46.509467,1.705,065,1.495
2014-03-18 07:07:28,6.647605,46.509470,1.683,075,1.494
2014-03-18 07:07:29,6.647592,46.509473,1.651,063,1.498
2014-03-18 07:07:30,6.647580,46.509467,1.639,061,1.494
2014-03-18 07:07:31,6.647565,46.509462,1.611,078,1.493
2014-03-18 07:07:32,6.647548,46.509455,1.597,071,1.493
2014-03-18 07:07:33,6.647533,46.509462,1.580,062,1.493
2014-03-18 07:07:34,6.647520,46.509478,1.562,062,1.487
2014-03-18 07:07:35,6.647505,46.509483,1.554,066,1.484
2014-03-18 07:07:36,6.647487,46.509485,1.547,073,1.483
2014-03-18 07:07:37,6.647470,46.509488,1.548,066,1.480
2014-03-18 07:07:38,6.647453,46.509497,1.543,067,1.478
2014-03-18 07:07:39,6.647435,46.509507,1.548,079,1.478
2014-03-18 07:07:40,6.647420,46.509510,1.576,084,1.476
2014-03-18 07:07:41,6.647403,46.509510,1.585,070,1.480
2014-03-18 07:07:42,6.647387,46.509512,1.573,075,1.469
2014-03-18 07:07:43,6.647393,46.509530,1.558,075,1.477
2014-03-18 07:07:44,6.647390,46.509542,1.560,078,1.470
2014-03-18 07:07:45,6.647383,46.509548,1.553,076,1.473
2014-03-18 07:07:46,6.647372,46.509550,1.544,081,1.468
2014-03-18 07:07:47,6.647353,46.509550,1.551,078,1.462
2014-03-18 07:07:48,6.647340,46.509547,1.543,083,1.464
2014-03-18 07:07:49,6.647323,46.509545,1.539,077,1.467
2014-03-18 07:07:50,6.647305,46.509537,1.539,075,1.467
2014-03-18 07:07:51,6.647295,46.509528,1.593,071,1.461
2014-03-18 07:07:52,6.647282,46.509522,1.646,076,1.461
2014-03-18 07:07:53,6.647267,46.509517,1.698,068,1.455
2014-03-18 07:07:54,6.647243,46.509508,1.704,071,1.458
2014-03-18 07:07:55,6.647223,46.509505,1.664,072,1.461
2014-03-18 07:07:56,6.647207,46.509507,1.651,078,1.449
2014-03-18 07:07:57,6.647185,46.509503,1.628,074,1.445
2014-03-18 07:07:58,6.647187,46.509513,1.609,073,1.444
2014-03-18 07:07:59,6.647168,46.509508,1.574,077,1.453
2014-03-18 07:08:00,6.647157,46.509513,1.574,077,1.453
2014-03-18 07:08:01,6.647138,46.509510,1.555,076,1.449
2014-03-18 07:08:02,6.647122,46.509507,1.550,081,1.449
2014-03-18 07:08:03,6.647110,46.509515,1.554,078,1.436
2014-03-18 07:08:04,6.647092,46.509517,1.551,078,1.436
2014-03-18 07:08:05,6.647067,46.509535,1.544,077,1.434
2014-03-18 07:08:06,6.647045,46.509537,1.538,075,1.439
2014-03-18 07:08:07,6.647028,46.509538,1.529,079,1.441
2014-03-18 07:08:08,6.647015,46.509543,1.532,088,1.441
2014-03-18 07:08:09,6.647008,46.509550,1.531,091,1.439
2014-03-18 07:08:10,6.646982,46.509543,1.532,080,1.441
2014-03-18 07:08:11,6.646953,46.509535,1.532,075,1.441
2014-03-18 07:08:12,6.646942,46.509533,1.543,077,1.444
2014-03-18 07:08:13,6.646937,46.509530,1.548,075,1.442
2014-03-18 07:08:14,6.646925,46.509525,1.554,076,1.439
2014-03-18 07:08:15,6.646928,46.509528,1.581,071,1.444
2014-03-18 07:08:16,6.646917,46.509530,1.603,078,1.444
2014-03-18 07:08:17,6.646915,46.509530,1.628,072,1.433
2014-03-18 07:08:18,6.646915,46.509530,1.635,070,1.440
2014-03-18 07:08:19,6.646913,46.509528,1.639,069,1.441
2014-03-18 07:08:20,6.646908,46.509528,1.638,067,1.441
2014-03-18 07:08:21,6.646895,46.509522,1.626,065,1.436
2014-03-18 07:08:22,6.646877,46.509510,1.631,070,1.441
2014-03-18 07:08:23,6.646853,46.509492,1.622,076,1.441
2014-03-18 07:08:24,6.646838,46.509477,1.632,078,1.437
2014-03-18 07:08:25,6.646828,46.509473,1.623,077,1.436
2014-03-18 07:08:26,6.646807,46.509458,1.625,078,1.438
2014-03-18 07:08:27,6.646792,46.509448,1.614,064,1.440
2014-03-18 07:08:28,6.646775,46.509440,1.614,065,1.436
2014-03-18 07:08:29,6.646758,46.509433,1.609,067,1.432
2014-03-18 07:08:30,6.646750,46.509428,1.614,074,1.436
2014-03-18 07:08:31,6.646745,46.509422,1.607,069,1.440
2014-03-18 07:08:32,6.646740,46.509407,1.609,064,1.432
2014-03-18 07:08:33,6.646760,46.509393,1.613,071,1.427
2014-03-18 07:08:34,6.646783,46.509397,1.576,071,1.425
2014-03-18 07:08:35,6.646780,46.509367,1.580,067,1.420
2014-03-18 07:08:36,6.646783,46.509358,1.570,056,1.418
2014-03-18 07:08:37,6.646780,46.509343,1.548,060,1.414
