ts,Lon,Lat,COx,Noise,NOx
2012-07-19 16:08:00,-118.440830,34.076707,1.577,081,1.037
2012-07-19 16:08:01,-118.440852,34.076705,1.568,082,1.042
2012-07-19 16:08:02,-118.440882,34.076705,1.573,089,1.048
2012-07-19 16:08:03,-118.440897,34.076690,1.564,067,1.048
2012-07-19 16:08:04,-118.440878,34.076673,1.556,080,1.043
2012-07-19 16:08:05,-118.440847,34.076668,1.545,076,1.046
2012-07-19 16:08:06,-118.440790,34.076675,1.539,077,1.048
2012-07-19 16:08:07,-118.440747,34.076655,1.544,091,1.048
2012-07-19 16:08:08,-118.440687,34.076657,1.530,078,1.038
2012-07-19 16:08:09,-118.440605,34.076663,1.532,081,1.026
2012-07-19 16:08:10,-118.440522,34.076662,1.544,074,1.041
2012-07-19 16:08:11,-118.440435,34.076663,1.544,074,1.041
2012-07-19 16:08:12,-118.440343,34.076662,1.543,082,1.035
2012-07-19 16:08:13,-118.440248,34.076663,1.534,072,1.027
2012-07-19 16:08:14,-118.440153,34.076663,1.523,075,1.026
2012-07-19 16:08:15,-118.440057,34.076662,1.528,082,1.026
2012-07-19 16:08:16,-118.439963,34.076665,1.523,082,1.025
2012-07-19 16:08:17,-118.439872,34.076667,1.510,086,1.017
2012-07-19 16:08:18,-118.439785,34.076673,1.506,090,1.019
2012-07-19 16:08:19,-118.439700,34.076680,1.514,080,1.024
2012-07-19 16:08:20,-118.439618,34.076680,1.506,068,1.023
2012-07-19 16:08:21,-118.439538,34.076682,1.499,083,0.991
2012-07-19 16:08:22,-118.439463,34.076678,1.494,081,0.994
2012-07-19 16:08:23,-118.439397,34.076682,1.480,086,0.998
2012-07-19 16:08:24,-118.439343,34.076670,1.490,074,1.010
2012-07-19 16:08:25,-118.439305,34.076662,1.484,082,1.000
2012-07-19 16:08:26,-118.439285,34.076657,1.494,074,0.999
2012-07-19 16:08:27,-118.439273,34.076660,1.537,091,1.003
2012-07-19 16:08:28,-118.439252,34.076663,1.552,076,1.007
2012-07-19 16:08:29,-118.439217,34.076680,1.570,074,1.008
2012-07-19 16:08:30,-118.439188,34.076713,1.563,082,1.002
2012-07-19 16:08:31,-118.439183,34.076757,1.532,086,1.003
2012-07-19 16:08:32,-118.439183,34.076805,1.523,089,0.995
2012-07-19 16:08:33,-118.439192,34.076862,1.512,089,0.997
2012-07-19 16:08:34,-118.439198,34.076927,1.510,082,0.994
2012-07-19 16:08:35,-118.439213,34.077003,1.503,079,0.991
2012-07-19 16:08:36,-118.439235,34.077072,1.494,080,0.990
2012-07-19 16:08:37,-118.439257,34.077127,1.488,077,0.992
2012-07-19 16:08:38,-118.439275,34.077177,1.493,073,0.994
2012-07-19 16:08:39,-118.439293,34.077210,1.484,081,0.990
2012-07-19 16:08:40,-118.439303,34.077222,1.493,079,0.994
2012-07-19 16:08:41,-118.439307,34.077233,1.495,079,0.994
2012-07-19 16:08:42,-118.439307,34.077237,1.505,072,0.999
2012-07-19 16:08:43,-118.439307,34.077250,1.507,071,0.998
2012-07-19 16:08:44,-118.439318,34.077275,1.506,060,0.999
2012-07-19 16:08:45,-118.439353,34.077282,1.510,056,0.999
2012-07-19 16:08:46,-118.439385,34.077283,1.519,071,1.007
2012-07-19 16:08:47,-118.439418,34.077282,1.521,053,1.012
2012-07-19 16:08:48,-118.439453,34.077282,1.523,069,1.007
2012-07-19 16:08:49,-118.439483,34.077288,1.515,066,1.009
2012-07-19 16:08:50,-118.439507,34.077293,1.517,066,1.016
2012-07-19 16:08:51,-118.439527,34.077302,1.535,070,1.008
2012-07-19 16:08:53,-118.439543,34.077322,1.545,066,1.014
2012-07-19 16:08:54,-118.439558,34.077323,1.552,069,1.018
2012-07-19 16:08:55,-118.439572,34.077332,1.549,067,1.013
2012-07-19 16:08:56,-118.439585,34.077332,1.553,067,1.019
2012-07-19 16:08:57,-118.439598,34.077320,1.551,065,1.023
2012-07-19 16:08:58,-118.439597,34.077307,1.545,070,1.019
2012-07-19 16:08:59,-118.439593,34.077290,1.551,067,1.024
2012-07-19 16:09:00,-118.439588,34.077282,1.557,069,1.026
2012-07-19 16:09:01,-118.439583,34.077270,1.555,068,1.023
2012-07-19 16:09:02,-118.439582,34.077262,1.552,067,1.028
2012-07-19 16:09:03,-118.439580,34.077257,1.545,069,1.032
2012-07-19 16:09:04,-118.439578,34.077252,1.544,065,1.032
2012-07-19 16:09:05,-118.439558,34.077255,1.529,069,1.026
2012-07-19 16:09:06,-118.439553,34.077253,1.535,067,1.029
2012-07-19 16:09:07,-118.439548,34.077253,1.538,068,1.036
2012-07-19 16:09:09,-118.439542,34.077253,1.526,070,1.029
2012-07-19 16:18:22,-118.439405,34.077340,1.457,067,0.974
2012-07-19 16:18:23,-118.439318,34.077307,1.455,067,0.974
2012-07-19 16:18:24,-118.439343,34.077308,1.465,067,0.974
2012-07-19 16:18:25,-118.439360,34.077315,1.469,059,0.984
2012-07-19 16:18:26,-118.439352,34.077303,1.474,058,0.987
2012-07-19 16:18:27,-118.439345,34.077297,1.485,062,0.995
2012-07-19 16:18:28,-118.439340,34.077293,1.498,065,1.000
2012-07-19 16:18:29,-118.439348,34.077290,1.497,067,0.999
2012-07-19 16:18:30,-118.439353,34.077287,1.502,068,1.002
2012-07-19 16:18:31,-118.439355,34.077273,1.490,064,0.999
2012-07-19 16:18:32,-118.439355,34.077263,1.487,070,0.991
2012-07-19 16:18:33,-118.439347,34.077255,1.483,068,0.997
2012-07-19 16:18:34,-118.439353,34.077243,1.486,063,1.000
2012-07-19 16:18:35,-118.439348,34.077228,1.487,068,0.993
2012-07-19 16:18:36,-118.439353,34.077208,1.491,069,0.999
2012-07-19 16:18:37,-118.439350,34.077187,1.483,070,0.958
2012-07-19 16:18:38,-118.439353,34.077165,1.492,065,0.988
2012-07-19 16:18:39,-118.439353,34.077145,1.488,068,0.984
