ts, Lon, Lat, COx, Noise, NOx
2020-04-24 07:24:24, 6.644583, 46.511318, 1.417, 059, 1.069
2020-04-24 07:24:25, 6.644542, 46.511313, 1.425, 066, 1.073
2020-04-24 07:24:26, 6.644513, 46.511293, 1.431, 061, 1.066
2020-04-24 07:24:27, 6.644503, 46.511282, 1.421, 058, 1.065
2020-04-24 07:24:28, 6.644495, 46.511272, 1.423, 058, 1.068
2020-04-24 07:24:29, 6.644483, 46.511262, 1.426, 057, 1.064
2020-04-24 07:24:30, 6.644483, 46.511243, 1.425, 061, 1.066
2020-04-24 07:24:31, 6.644480, 46.511232, 1.432, 053, 1.057
2020-04-24 07:24:32, 6.644468, 46.511220, 1.424, 061, 1.056
2020-04-24 07:24:33, 6.644428, 46.511260, 1.425, 057, 1.057
2020-04-24 07:24:34, 6.644422, 46.511252, 1.428, 049, 1.056
2020-04-24 07:24:35, 6.644415, 46.511245, 1.429, 055, 1.054
2020-04-24 07:24:36, 6.644410, 46.511243, 1.423, 050, 1.052
2020-04-24 07:24:37, 6.644397, 46.511235, 1.421, 055, 1.050
2020-04-24 07:24:38, 6.644387, 46.511217, 1.429, 056, 1.048
2020-04-24 07:24:39, 6.644363, 46.511192, 1.426, 057, 1.052
2020-04-24 07:24:40, 6.644333, 46.511177, 1.429, 054, 1.055
2020-04-24 07:24:41, 6.644310, 46.511142, 1.424, 059, 1.048
2020-04-24 07:24:42, 6.644295, 46.511122, 1.427, 056, 1.052
2020-04-24 07:24:43, 6.644288, 46.511100, 1.426, 058, 1.046
2020-04-24 07:24:44, 6.644277, 46.511090, 1.428, 063, 1.048
2020-04-24 07:24:45, 6.644272, 46.511083, 1.429, 055, 1.048
2020-04-24 07:24:46, 6.644257, 46.511063, 1.428, 054, 1.044
2020-04-24 07:24:47, 6.644252, 46.511043, 1.428, 054, 1.044
2020-04-24 07:24:48, 6.644243, 46.511027, 1.422, 060, 1.041
2020-04-24 07:24:49, 6.644240, 46.511025, 1.432, 054, 1.044
2020-04-24 07:24:50, 6.644222, 46.511025, 1.424, 065, 1.036
2020-04-24 07:24:51, 6.644215, 46.511025, 1.427, 049, 1.038
2020-04-24 07:24:52, 6.644217, 46.511008, 1.423, 053, 1.031
2020-04-24 07:24:53, 6.644222, 46.511008, 1.428, 050, 1.035
2020-04-24 07:24:54, 6.644242, 46.511012, 1.428, 053, 1.036
2020-04-24 07:24:55, 6.644252, 46.511003, 1.425, 057, 1.032
2020-04-24 07:24:56, 6.644265, 46.510988, 1.419, 062, 1.032
2020-04-24 07:24:57, 6.644273, 46.510987, 1.424, 058, 1.023
2020-04-24 07:24:58, 6.644278, 46.510980, 1.430, 051, 1.023
2020-04-24 07:24:59, 6.644273, 46.510990, 1.427, 051, 1.023
2020-04-24 07:25:00, 6.644267, 46.510990, 1.428, 055, 1.026
2020-04-24 07:25:01, 6.644262, 46.510988, 1.428, 061, 1.027
2020-04-24 07:25:02, 6.644263, 46.510987, 1.422, 048, 1.021
2020-04-24 07:25:03, 6.644278, 46.510985, 1.425, 051, 1.021
2020-04-24 07:25:04, 6.644293, 46.510985, 1.421, 056, 1.021
2020-04-24 07:25:05, 6.644300, 46.510993, 1.427, 063, 1.019
2020-04-24 07:25:06, 6.644292, 46.510992, 1.428, 063, 1.023
2020-04-24 07:25:07, 6.644293, 46.510992, 1.424, 057, 1.016
2020-04-24 07:25:08, 6.644297, 46.510990, 1.423, 051, 1.019
2020-04-24 07:25:09, 6.644300, 46.510983, 1.422, 054, 1.016
2020-04-24 07:25:10, 6.644300, 46.510977, 1.422, 056, 1.013
2020-04-24 07:25:11, 6.644295, 46.510975, 1.428, 055, 1.011
2020-04-24 07:25:12, 6.644295, 46.510978, 1.421, 046, 1.005
2020-04-24 07:25:13, 6.644303, 46.510983, 1.424, 052, 1.010
2020-04-24 07:25:14, 6.644302, 46.510980, 1.424, 058, 1.008
2020-04-24 07:25:15, 6.644298, 46.510977, 1.422, 054, 1.000
2020-04-24 07:25:16, 6.644308, 46.510987, 1.428, 051, 1.007
2020-04-24 07:25:17, 6.644335, 46.511007, 1.420, 054, 0.999
2020-04-24 07:25:18, 6.644327, 46.511005, 1.423, 059, 0.999
2020-04-24 07:25:19, 6.644317, 46.510992, 1.422, 062, 1.006
2020-04-24 07:25:20, 6.644313, 46.510977, 1.420, 053, 0.996
2020-04-24 07:25:21, 6.644305, 46.510963, 1.422, 050, 0.998
2020-04-24 07:25:22, 6.644293, 46.510948, 1.428, 050, 1.003
2020-04-24 07:25:23, 6.644282, 46.510940, 1.420, 056, 0.994
2020-04-24 07:25:24, 6.644262, 46.510922, 1.424, 053, 0.999
2020-04-24 07:25:25, 6.644260, 46.510912, 1.425, 059, 0.992
2020-04-24 07:25:26, 6.644248, 46.510900, 1.427, 049, 0.993
2020-04-24 07:25:27, 6.644242, 46.510883, 1.411, 045, 0.990
2020-04-24 07:25:28, 6.644238, 46.510870, 1.411, 045, 0.990
2020-04-24 07:25:29, 6.644232, 46.510860, 1.423, 059, 0.993
2020-04-24 07:25:30, 6.644232, 46.510862, 1.420, 055, 0.989
2020-04-24 07:25:31, 6.644222, 46.510862, 1.423, 044, 0.988
2020-04-24 07:25:32, 6.644218, 46.510855, 1.416, 048, 0.988
2020-04-24 07:25:33, 6.644208, 46.510850, 1.428, 060, 0.988
2020-04-24 07:25:34, 6.644205, 46.510847, 1.426, 048, 0.986
2020-04-24 07:25:35, 6.644198, 46.510843, 1.425, 046, 0.987
2020-04-24 07:25:36, 6.644198, 46.510842, 1.422, 058, 0.978
2020-04-24 07:25:37, 6.644190, 46.510835, 1.417, 059, 0.986
2020-04-24 07:25:38, 6.644193, 46.510830, 1.418, 060, 0.978
2020-04-24 07:25:39, 6.644190, 46.510822, 1.423, 049, 0.976
2020-04-24 07:25:40, 6.644185, 46.510817, 1.428, 061, 0.978
2020-04-24 07:25:41, 6.644180, 46.510815, 1.419, 060, 0.974
2020-04-24 07:25:42, 6.644173, 46.510812, 1.423, 057, 0.975
2020-04-24 07:25:43, 6.644167, 46.510805, 1.419, 059, 0.978
2020-04-24 07:25:44, 6.644177, 46.510808, 1.420, 064, 0.978
2020-04-24 07:25:45, 6.644190, 46.510812, 1.425, 061, 0.981
2020-04-24 07:25:46, 6.644188, 46.510815, 1.421, 063, 0.974
2020-04-24 07:25:47, 6.644170, 46.510817, 1.428, 057, 0.981
